"STATE","DISTRICT","SUBMERSIBLE PUMP","CENTRIFUGAL PUMP","TURBINE PUMP","MANUAL/ANIMAL","OTHER","TOTAL"
"UTTAR PRADESH","AGRA",584,217,61,0,47,909
"UTTAR PRADESH","ALIGARH",237,89,301,0,55,682
"UTTAR PRADESH","ALLAHABAD",1050,286,161,0,93,1590
"UTTAR PRADESH","AMBEDAKAR NAGAR",357,71,38,0,23,489
"UTTAR PRADESH","AURAIYA",265,239,1,0,0,505
"UTTAR PRADESH","AZAMGARH",300,47,9,0,29,385
"UTTAR PRADESH","BAGHPAT",513,3,0,0,4,520
"UTTAR PRADESH","BAHARAICH",359,116,22,0,22,519
"UTTAR PRADESH","BALLIA",389,456,228,0,141,1214
"UTTAR PRADESH","BALRAMPUR",107,232,33,0,30,402
"UTTAR PRADESH","BANDA",658,516,28,0,218,1420
"UTTAR PRADESH","BARABANKI",160,90,19,0,11,280
"UTTAR PRADESH","BAREILLY",621,32,16,0,112,781
"UTTAR PRADESH","BASTI",231,262,248,0,37,778
"UTTAR PRADESH","BIJNOR",276,90,429,2,3,800
"UTTAR PRADESH","BUDAUN",632,58,67,0,177,934
"UTTAR PRADESH","BULAND SAHAR",206,30,42,0,67,345
"UTTAR PRADESH","CHANDAULI",171,80,18,0,22,291
"UTTAR PRADESH","CHITRAKOOT",131,63,0,0,0,194
"UTTAR PRADESH","DEORIA",401,135,137,1,369,1043
"UTTAR PRADESH","ETAH",38,80,1,0,632,751
"UTTAR PRADESH","ETAWAH",349,237,0,0,0,586
"UTTAR PRADESH","FAIZABAD",482,252,54,0,31,819
"UTTAR PRADESH","FARRUKHABAD",270,140,7,0,24,441
"UTTAR PRADESH","FATEHPUR",1269,58,31,0,180,1538
"UTTAR PRADESH","FIROZABAD",220,268,7,0,52,547
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",79,56,8,0,25,168
"UTTAR PRADESH","GHAZIABAD",155,13,13,0,35,216
"UTTAR PRADESH","GHAZIPUR",580,131,19,0,50,780
"UTTAR PRADESH","GONDA",162,294,24,0,201,681
"UTTAR PRADESH","GORAKHPUR",585,636,58,0,375,1654
"UTTAR PRADESH","HAMIRPUR",365,770,58,0,35,1228
"UTTAR PRADESH","HARDOI",557,402,0,0,1,960
"UTTAR PRADESH","JALAUN",1440,261,3,0,56,1760
"UTTAR PRADESH","JAUNPUR",390,308,96,0,30,824
"UTTAR PRADESH","JHANSI",62,346,0,0,1,409
"UTTAR PRADESH","JYOTIBA PHULENAGAR",353,8,3,0,29,393
"UTTAR PRADESH","KANNAUJ",179,35,6,0,25,245
"UTTAR PRADESH","KANPUR DEHAT",907,252,13,0,119,1291
"UTTAR PRADESH","KANPUR NAGAR",1152,51,21,0,46,1270
"UTTAR PRADESH","KAUSHAMBI",1446,135,20,0,51,1652
"UTTAR PRADESH","KHERI",552,411,149,0,66,1178
"UTTAR PRADESH","KUSHINAGAR",40,28,103,0,7,178
"UTTAR PRADESH","LALITPUR",16,129,0,0,17,162
"UTTAR PRADESH","LUCKNOW",215,106,3,0,83,407
"UTTAR PRADESH","MAHA MAYA NAGAR",102,24,12,0,12,150
"UTTAR PRADESH","MAHARAJ GANJ",132,96,19,0,34,281
"UTTAR PRADESH","MAHOBA",92,99,0,0,0,191
"UTTAR PRADESH","MAINPURI",247,170,38,0,57,512
"UTTAR PRADESH","MATHURA",12,30,1,0,1,44
"UTTAR PRADESH","MAU",229,140,8,0,23,400
"UTTAR PRADESH","MEERUT",218,229,79,0,33,559
"UTTAR PRADESH","MIRZAPUR",484,11,12,0,23,530
"UTTAR PRADESH","MORADABAD",1159,63,32,0,50,1304
"UTTAR PRADESH","MUZZAFARNAGAR",675,59,49,0,42,825
"UTTAR PRADESH","PILIBHIT",79,70,19,0,11,179
"UTTAR PRADESH","PRATAPGARH",91,52,4,0,3,150
"UTTAR PRADESH","RAEBARELI",462,112,12,0,29,615
"UTTAR PRADESH","RAMPUR",714,37,3,0,38,792
"UTTAR PRADESH","SAHARANPUR",445,575,36,0,113,1169
"UTTAR PRADESH","SANT KABIR NAGAR",320,16,11,0,51,398
"UTTAR PRADESH","SANT RAVI DAS NAGAR",387,18,48,0,40,493
"UTTAR PRADESH","SHAHJAHANPUR",1,30,4,0,457,492
"UTTAR PRADESH","SHRAWASTI",92,30,9,0,117,248
"UTTAR PRADESH","SIDDHARTH NAGAR",622,26,13,0,23,684
"UTTAR PRADESH","SITAPUR",687,389,9,0,2,1087
"UTTAR PRADESH","SONBHADRA",166,579,0,0,55,800
"UTTAR PRADESH","SULTANPUR",561,172,192,0,122,1047
"UTTAR PRADESH","UNNAO",147,85,4,0,16,252
"UTTAR PRADESH","VARANASI",1306,258,29,0,39,1632
"UTTARAKHAND","CHAMPAWAT",0,3,0,0,0,3
"UTTARAKHAND","DEHRA DUN",85,27,0,0,78,190
"UTTARAKHAND","HARIDWAR",464,48,0,0,1,513
"UTTARAKHAND","NAINITAL",125,97,1,0,12,235
"UTTARAKHAND","UDHAM SINGH NAGAR",36,265,0,2,86,389
"WEST BENGAL","BANKURA",156,0,0,0,12,168
"WEST BENGAL","BARDDHAMAN",621,0,14,0,20,655
"WEST BENGAL","BIRBHUM",114,0,0,0,22,136
"WEST BENGAL","DAKSHIN DINAJPUR",151,0,1,0,2,154
"WEST BENGAL","DARJEELING",4,0,0,0,0,4
"WEST BENGAL","HAORA",198,0,1,0,21,220
"WEST BENGAL","HOOGHLY",520,0,2,0,30,552
"WEST BENGAL","JALPAIGURI",150,0,9,0,25,184
"WEST BENGAL","KOCH BEHAR",74,0,0,0,4,78
