"STATE","DISTRICT","SUBMERSIBLE PUMPS","CENTRIFUGAL PUMPS","TURBINE","MANUAL/ANIMAL","OITHERS","TOTAL"
"UTTAR PRADESH","SANT KABIR NAGAR",6,297,0,0,5,308
"UTTAR PRADESH","SANT RAVI DAS NAGAR",22,15,1,0,24,62
"UTTAR PRADESH","SIDDHARTH NAGAR",1,281,0,39,100,421
"UTTAR PRADESH","SONBHADRA",908,5297,30,331,2944,9510
"UTTAR PRADESH","SULTANPUR",6,138,2,0,595,741
"UTTAR PRADESH","UNNAO",0,7,0,0,213,220
"UTTAR PRADESH","VARANASI",12,80,10,0,7,109
"UTTARAKHAND","CHAMOLI",0,0,0,0,1,1
"UTTARAKHAND","CHAMPAWAT",0,1,0,0,0,1
"UTTARAKHAND","DEHRA DUN",2,8,0,0,0,10
"UTTARAKHAND","HARIDWAR",0,1,0,0,0,1
"UTTARAKHAND","NAINITAL",20,13,1,0,2,36
"UTTARAKHAND","PAURI",0,0,0,0,16,16
"UTTARAKHAND","UDHAM SINGH NAGAR",7,234,0,300,62,603
"WEST BENGAL","BANKURA",61,561,0,488,255,1365
"WEST BENGAL","BARDDHAMAN",57,4,1,0,1,63
"WEST BENGAL","BIRBHUM",8,86,3,0,70,167
"WEST BENGAL","DAKSHIN DINAJPUR",9,9,0,13,0,31
"WEST BENGAL","DARJEELING",11,180,1,0,37,229
"WEST BENGAL","HAORA",1,0,0,0,0,1
"WEST BENGAL","JALPAIGURI",199,2769,1,10,314,3293
"WEST BENGAL","KOCH BEHAR",24,414,0,472,188,1098
"WEST BENGAL","MALDA",19,40,1,0,0,60
"WEST BENGAL","MURSHIDABAD",1,1,0,0,0,2
"WEST BENGAL","NADIA",11,10,0,0,2,23
"WEST BENGAL","NORTH 24 PARGANAS",5,24,0,0,4,33
"WEST BENGAL","PASHCHIM MIDNAPORE",77,2200,1,10,123,2411
"WEST BENGAL","PURBA MIDNAPORE",0,1,0,0,0,1
"WEST BENGAL","PURULIA",30,100,0,3272,209,3611
"WEST BENGAL","UTTAR DINAJPUR",0,64,3,6,6,79
