"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","ABOVE 10 HP","NO LIFTING DEVICE","TOTAL"
"CHHATISGARH","NARAYANPUR",0,6,2,1,0,1,497,507
"CHHATISGARH","RAIGARH",322,140,1470,510,32,273,18454,21201
"CHHATISGARH","RAIPUR",1286,3298,1426,951,369,33,10869,18232
"CHHATISGARH","RAJNANDGAON",148,3366,579,275,703,25,3480,8576
"CHHATISGARH","SURGUJA",4591,3485,1941,488,61,4941,47307,62814
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",2,122,278,0,0,151,0,553
"DELHI","ALIPUR",0,0,0,0,0,1,0,1
"DELHI","NANGLOI",0,0,1,0,0,0,0,1
"GOA","NORTH GOA",442,1100,436,21,1,34,901,2935
"GOA","SOUTH GOA",193,592,242,23,3,30,253,1336
"GUJARAT","AHMEDABAD",3048,103,3299,721,897,1118,3123,12309
"GUJARAT","AMRELI",553,280,33023,13561,3331,17702,146,68596
"GUJARAT","ANAND",447,3,65,331,295,620,0,1761
"GUJARAT","BANASKANTHA",3,7,4118,1928,3644,5912,1601,17213
"GUJARAT","BHARUCH",12,9,882,70,320,743,1,2037
"GUJARAT","BHAVNAGAR",106,2285,34374,40218,2192,4917,0,84092
"GUJARAT","DAHOD",114,22,32466,4,11,66,3349,36032
"GUJARAT","DANG",0,34,1454,0,21,7,0,1516
"GUJARAT","GANDHINAGAR",0,0,0,0,0,1852,0,1852
"GUJARAT","JAMNAGAR",60,83,68835,8432,17378,2593,0,97381
"GUJARAT","JUNAGADH",1109,293,105301,18234,174,12569,0,137680
"GUJARAT","KACHCHH",660,8,459,1902,611,5341,13,8994
"GUJARAT","KHEDA",37,36,2953,4022,5445,5591,6,18090
"GUJARAT","MEHSANA",1038,36,1146,648,107,932,1,3908
"GUJARAT","NARMADA",0,38,2488,20,450,783,0,3779
"GUJARAT","NAVSARI",7,3660,9033,758,2,27,286,13773
"GUJARAT","PANCHMAHAL",30,91,38967,923,105,403,1,40520
"GUJARAT","PATAN",0,0,0,0,0,3,0,3
"GUJARAT","PORBANDAR",10,5,19581,6845,64,89,56,26650
"GUJARAT","RAJKOT",3887,4286,114200,12572,4695,3095,2,142737
"GUJARAT","SABARKANTHA",6,72,48171,10600,4991,7894,0,71734
"GUJARAT","SURAT",4,91,32145,2,4,85,9,32340
"GUJARAT","SURENDRANAGAR",178,199,30009,87,913,2877,0,34263
"GUJARAT","VADODARA",1981,72,14833,1820,424,1799,0,20929
"GUJARAT","VALSAD",22,4666,6300,58,31,177,37,11291
"HARYANA","BHIWANI",0,2,8,7,151,270,0,438
"HARYANA","GURGAON",125,0,141,3,36,5,0,310
"HARYANA","JHAJJAR",0,0,10,13,266,80,0,369
"HARYANA","KARNAL",6,8,78,242,43,2,0,379
"HARYANA","MAHENDRAGARH",1,0,5,14,0,23,0,43
"HARYANA","MEWAT",345,1,9,4,152,31,0,542
"HARYANA","REWARI",72,0,90,24,3,15,0,204
"HIMACHAL PRADESH","Bilaspur",0,34,38,9,13,3,0,97
"HIMACHAL PRADESH","Hamirpur",11,40,58,2,10,27,3,151
"HIMACHAL PRADESH","Kangra",11,34,56,2,1,26,7,137
"HIMACHAL PRADESH","Kullu",0,0,1,0,0,0,0,1
"HIMACHAL PRADESH","Mandi",0,3,3,0,0,1,0,7
"HIMACHAL PRADESH","Sirmaur",2,22,114,30,171,79,0,418
"HIMACHAL PRADESH","Solan",1,57,54,47,105,137,57,458
"HIMACHAL PRADESH","Una",1,18,13,0,8,1,0,41
"JAMMU & KASHMIR","DODA",0,0,0,0,0,0,2,2
"JAMMU & KASHMIR","JAMMU",0,3,135,27,5,0,0,170
"JAMMU & KASHMIR","KATHUA",4,140,777,2,0,8,0,931
"JAMMU & KASHMIR","RAJOURI",0,0,0,0,0,13,0,13
"JAMMU & KASHMIR","SRINAGAR",0,0,0,0,0,5,20,25
"JAMMU & KASHMIR","UDHAMPUR",1,1,23,0,0,0,0,25
"JHARKHAND","BOKARO",22,1206,59,3,0,43,3670,5003
"JHARKHAND","CHATRA",6,12662,278,3,1,23,193,13166
"JHARKHAND","DEOGHAR",87,402,5071,20,20,27,37,5664
"JHARKHAND","DHANBAD",66,140,56,19,10,2,2962,3255
"JHARKHAND","DUMKA",0,0,691,0,0,0,26605,27296
"JHARKHAND","EAST SINGHBHUM",10,14,531,0,3,13,448,1019
"JHARKHAND","GARHWA",11,80,47,0,8,5,2471,2622
"JHARKHAND","GIRIDIH",0,25,2177,0,1,3,4014,6220
"JHARKHAND","GODDA",3,23,2928,1,0,15,1563,4533
"JHARKHAND","GUMLA",0,0,0,0,0,0,10806,10806
"JHARKHAND","HAZARIBAGH",0,1067,97,0,0,1,822,1987
"JHARKHAND","JAMTARA",1,2311,2032,4,344,225,20,4937
"JHARKHAND","KHUNTI",187,1248,65,3,1,21,4938,6463
"JHARKHAND","KODERMA",27,1837,534,18,1,3,942,3362
"JHARKHAND","LATEHAR",11,550,780,1,1,37,2851,4231
"JHARKHAND","LOHARDAGA",431,2096,24,2,0,2,1791,4346
"JHARKHAND","PAKUR",196,144,592,0,0,1,527,1460
"JHARKHAND","PALAMU",17,1254,2039,6,1,36,4362,7715
"JHARKHAND","RAMGARH",16,15,9,0,1,6,4243,4290
"JHARKHAND","RANCHI",206,4493,259,8,1,209,8742,13918
"JHARKHAND","SAHEBGANJ",393,0,1083,0,0,0,0,1476
"JHARKHAND","SARAIKELA",23,22,131,0,0,6,1492,1674
"JHARKHAND","SIMDEGA",55,332,125,1,0,18,2977,3508
"JHARKHAND","WEST SINGHBHUM",0,0,0,0,0,0,966,966
"KARNATAKA","Bagalkote",32,510,6873,263,159,1004,0,8841
"KARNATAKA","Bangalore",0,16,26,1,0,0,0,43
