"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","ABOVE 10 HP","NO LIFTING DEVICE","TOTAL"
"TAMIL NADU","NILGIRIS",2,134,357,114,6,285,2,900
"TAMIL NADU","PERAMBALUR",59,16845,20613,3032,2365,2225,113,45252
"TAMIL NADU","PUDUKKOTTAI",196,19933,7128,1458,12,629,2521,31877
"TAMIL NADU","RAMANATHAPURAM",136,1850,2143,49,3,11,216,4408
"TAMIL NADU","SALEM",3715,4403,83402,10332,543,1003,293,103691
"TAMIL NADU","SIVAGANGA",905,10364,8729,188,123,213,170,20692
"TAMIL NADU","THANJAVUR",5,85,1253,295,13,179,1,1831
"TAMIL NADU","THENI",303,2967,16424,2997,610,2473,1,25775
"TAMIL NADU","THIRUVALLUR",83,313,8747,1749,1146,210,1,12249
"TAMIL NADU","THIRUVARUR",0,2,239,12,39,123,0,415
"TAMIL NADU","TIRUCHIRAPPALLI",411,37846,30378,3722,651,384,84,73476
"TAMIL NADU","TIRUNELVELI",300,57289,26926,2163,100,323,113,87214
"TAMIL NADU","TIRUVANNAMALAI",1759,74190,85269,5878,250,1544,1059,169949
"TAMIL NADU","TUTICORIN DISTRICT",4502,13773,7044,45,65,94,82,25605
"TAMIL NADU","VELLORE",2197,29601,75580,3698,1205,1286,647,114214
"TAMIL NADU","VILLUPPURAM",1840,14331,128965,8687,608,1236,24,155691
"TAMIL NADU","VIRUDHUNAGAR",2377,22080,13286,231,22,137,240,38373
"TRIPURA","DHALAI",0,0,0,1,0,0,1,2
"TRIPURA","SOUTH TRIPURA",2,4,17,69,0,1,46,139
"TRIPURA","WEST TRIPURA",1,10,2,8,0,1,0,22
"UTTAR PRADESH","AGRA",31,0,2,7,168,1319,0,1527
"UTTAR PRADESH","ALLAHABAD",4,0,81,3,1446,1521,1,3056
"UTTAR PRADESH","AMBEDAKAR NAGAR",0,2,19,0,66,28,0,115
"UTTAR PRADESH","AZAMGARH",0,2,2,0,3,2,0,9
"UTTAR PRADESH","BAGHPAT",0,0,5,0,14,50,0,69
"UTTAR PRADESH","BALLIA",0,0,2,1,640,72,0,715
"UTTAR PRADESH","BALRAMPUR",0,0,3,11,17,72,0,103
"UTTAR PRADESH","BANDA",4,7,51,34,360,1055,0,1511
"UTTAR PRADESH","BARABANKI",58,2,0,82,156,140,0,438
"UTTAR PRADESH","BAREILLY",0,0,0,0,1,6,0,7
"UTTAR PRADESH","BASTI",4,0,1,5,20,11,1,42
"UTTAR PRADESH","CHANDAULI",2,29,107,11,572,71,0,792
"UTTAR PRADESH","CHITRAKOOT",9,84,242,203,1678,1761,0,3977
"UTTAR PRADESH","DEORIA",0,0,1,10,15,1,0,27
"UTTAR PRADESH","FAIZABAD",4,0,2,0,171,128,0,305
"UTTAR PRADESH","FARRUKHABAD",0,0,0,2,2,20,0,24
"UTTAR PRADESH","FATEHPUR",0,0,1,0,309,467,0,777
"UTTAR PRADESH","FIROZABAD",0,0,0,4,0,47,0,51
"UTTAR PRADESH","GHAZIPUR",1,1,29,0,19,9,0,59
"UTTAR PRADESH","GONDA",0,0,0,5,4,0,0,9
"UTTAR PRADESH","HAMIRPUR",223,8,4,91,357,2199,0,2882
"UTTAR PRADESH","HARDOI",0,0,0,1,269,83,0,353
"UTTAR PRADESH","JALAUN",4,0,0,1,355,367,0,727
"UTTAR PRADESH","JAUNPUR",0,2,22,2,38,13,0,77
"UTTAR PRADESH","JHANSI",3,149,148,25615,1312,950,0,28177
"UTTAR PRADESH","KANNAUJ",0,0,0,0,49,8,0,57
"UTTAR PRADESH","KANPUR DEHAT",0,0,1,0,9,148,0,158
"UTTAR PRADESH","KANPUR NAGAR",0,0,0,0,107,35,0,142
"UTTAR PRADESH","KAUSHAMBI",0,0,0,0,5,10,0,15
"UTTAR PRADESH","KHERI",1,1,15,16,101,29,0,163
"UTTAR PRADESH","LALITPUR",13,270,1599,11724,7373,8540,0,29519
"UTTAR PRADESH","LUCKNOW",0,0,0,0,15,35,0,50
"UTTAR PRADESH","MAHARAJ GANJ",0,0,1,22,18,1,0,42
"UTTAR PRADESH","MAHOBA",49,22,438,7446,5268,2802,0,16025
"UTTAR PRADESH","MAINPURI",0,0,0,0,0,2,0,2
"UTTAR PRADESH","MATHURA",0,0,0,0,195,181,0,376
"UTTAR PRADESH","MAU",0,1,2,0,110,10,0,123
"UTTAR PRADESH","MEERUT",0,0,1,3,14,2,0,20
"UTTAR PRADESH","MIRZAPUR",163,1001,2247,494,10597,2917,195,17614
"UTTAR PRADESH","MUZZAFARNAGAR",2,0,2,45,0,175,0,224
"UTTAR PRADESH","PRATAPGARH",0,1,0,0,110,45,0,156
"UTTAR PRADESH","RAEBARELI",1,4,303,1120,2029,1458,52,4967
"UTTAR PRADESH","SANT KABIR NAGAR",0,66,129,15,38,60,0,308
"UTTAR PRADESH","SANT RAVI DAS NAGAR",16,8,16,2,0,20,0,62
"UTTAR PRADESH","SIDDHARTH NAGAR",81,0,3,23,265,10,39,421
"UTTAR PRADESH","SONBHADRA",30,164,582,91,7129,1183,331,9510
"UTTAR PRADESH","SULTANPUR",62,1,12,0,470,196,0,741
"UTTAR PRADESH","UNNAO",0,0,0,57,121,42,0,220
"UTTAR PRADESH","VARANASI",0,2,47,21,18,21,0,109
"UTTARAKHAND","CHAMOLI",0,1,0,0,0,0,0,1
"UTTARAKHAND","CHAMPAWAT",0,0,0,0,0,1,0,1
"UTTARAKHAND","DEHRA DUN",0,0,6,0,0,4,0,10
"UTTARAKHAND","HARIDWAR",0,0,0,0,0,1,0,1
"UTTARAKHAND","NAINITAL",0,0,13,0,0,23,0,36
"UTTARAKHAND","PAURI",16,0,0,0,0,0,0,16
"UTTARAKHAND","UDHAM SINGH NAGAR",1,2,33,0,234,33,300,603
"WEST BENGAL","BANKURA",99,176,595,2,5,0,488,1365
"WEST BENGAL","BARDDHAMAN",0,1,58,0,4,0,0,63
"WEST BENGAL","BIRBHUM",25,4,109,0,29,0,0,167
"WEST BENGAL","DAKSHIN DINAJPUR",0,0,13,5,0,0,13,31
"WEST BENGAL","DARJEELING",0,14,212,0,3,0,0,229
"WEST BENGAL","HAORA",0,0,0,0,1,0,0,1
"WEST BENGAL","JALPAIGURI",25,167,3005,10,76,0,10,3293
"WEST BENGAL","KOCH BEHAR",176,16,410,17,7,0,472,1098
"WEST BENGAL","MALDA",0,4,52,0,4,0,0,60
"WEST BENGAL","MURSHIDABAD",0,0,2,0,0,0,0,2
"WEST BENGAL","NADIA",0,2,20,0,1,0,0,23
"WEST BENGAL","NORTH 24 PARGANAS",1,3,22,1,6,0,0,33
"WEST BENGAL","PASHCHIM MIDNAPORE",324,967,903,33,174,0,10,2411
"WEST BENGAL","PURBA MIDNAPORE",0,0,1,0,0,0,0,1
"WEST BENGAL","PURULIA",207,58,36,0,38,0,3272,3611
"WEST BENGAL","UTTAR DINAJPUR",0,2,69,0,2,0,6,79
