"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL/ANIMAL","OTHERS","TOTAL"
"CHHATISGARH","JASHPUR",0,0,0,0,1,0,1
"CHHATISGARH","KANKER",3,0,0,0,3,0,6
"CHHATISGARH","KAWARDHA",27,0,0,0,43,0,70
"CHHATISGARH","KORIA",3,0,0,0,1,0,4
"CHHATISGARH","MAHASAMUND",4,0,0,0,0,0,4
"CHHATISGARH","RAIGARH",185,2,0,4,483,0,674
"CHHATISGARH","RAIPUR",111,1,0,0,35,0,147
"CHHATISGARH","RAJNANDGAON",17,0,0,0,0,0,17
"CHHATISGARH","SURGUJA",66,2,0,0,8,0,76
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",9,0,0,0,0,0,9
"DELHI","ALIPUR",4,0,0,0,0,0,4
"DELHI","MAHRAULI",710,1,0,0,1,7,719
"DELHI","NAJAFGARH",457,25,0,0,0,22,504
"DELHI","NANGLOI",1,0,0,0,0,0,1
"GOA","NORTH GOA",24,0,0,0,1,0,25
"GOA","SOUTH GOA",12,1,0,0,0,9,22
"GUJARAT","AHMEDABAD",5942,49,16,0,22,12,6041
"GUJARAT","AMRELI",16,173,0,0,0,0,189
"GUJARAT","ANAND",2460,3,0,0,0,19,2482
"GUJARAT","BANASKANTHA",31775,25,4,0,25254,43,57101
"GUJARAT","BHARUCH",159,1,0,0,0,0,160
"GUJARAT","BHAVNAGAR",2,20,0,0,0,1,23
"GUJARAT","DAHOD",0,3,0,0,1,0,4
"GUJARAT","DANG",1,1,0,0,0,0,2
"GUJARAT","GANDHINAGAR",6105,5,9,0,0,0,6119
"GUJARAT","JAMNAGAR",2,2,0,0,0,0,4
"GUJARAT","JUNAGADH",2613,137,0,1,0,1,2752
"GUJARAT","KACHCHH",12219,774,33,0,1,298,13325
"GUJARAT","KHEDA",2768,43,0,1,0,7,2819
"GUJARAT","MEHSANA",15395,44,10,5,0,10,15464
"GUJARAT","NARMADA",881,40,0,0,0,0,921
"GUJARAT","NAVSARI",12,0,0,0,0,1,13
"GUJARAT","PANCHMAHAL",244,52,22,0,0,0,318
"GUJARAT","PATAN",6564,0,1,2,0,0,6567
"GUJARAT","PORBANDAR",32,0,0,0,0,0,32
"GUJARAT","RAJKOT",2954,586,0,0,1,0,3541
"GUJARAT","SABARKANTHA",9143,20,0,1,0,0,9164
"GUJARAT","SURAT",5,0,0,0,3,0,8
"GUJARAT","SURENDRANAGAR",13891,689,2,0,0,9,14591
