"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","AVE 10 HP","NO LIFTING DEVICE","TOTAL"
"RAJASTHAN","JAIPUR",1,12,509,50,3428,5067,448,9515
"RAJASTHAN","JAISALMER",0,0,0,0,0,16,0,16
"RAJASTHAN","JALORE",1,0,100,0,551,512,97,1261
"RAJASTHAN","JHALAWAR",0,53,146,54,288,245,7,793
"RAJASTHAN","JHUNJHUNU",0,0,0,20,8,150,0,178
"RAJASTHAN","JODHPUR",0,4,22,1,35,155,33,250
"RAJASTHAN","KAROLI",3,1,407,296,1287,2763,204,4961
"RAJASTHAN","KOTA",0,290,1585,1789,2081,2190,210,8145
"RAJASTHAN","NAGAUR",0,0,10,7,44,585,75,721
"RAJASTHAN","PALI",0,2,71,54,361,144,50,682
"RAJASTHAN","RAJSAMAND",3,6,14,0,3,1,14,41
"RAJASTHAN","SAWAI MADHOPUR",1,1,268,141,2397,1341,20,4169
"RAJASTHAN","SIKAR",0,0,41,4,461,648,16,1170
"RAJASTHAN","SIROHI",0,0,51,0,36,10,4,101
"RAJASTHAN","TONK",0,1,6,6,225,233,51,522
"RAJASTHAN","UDAIPUR",0,171,289,7,48,13,100,628
"TAMIL NADU","CUDDALORE",146,47,3465,1154,140,10250,1,15203
"TAMIL NADU","DHARMAPURI",0,5,51,6,1,0,0,63
"TAMIL NADU","DINDIGUL",0,20,86,10,0,1,2,119
"TAMIL NADU","ERODE",0,119,4278,447,126,72,0,5042
"TAMIL NADU","KANCHEEPURAM",0,1313,1763,520,6,353,0,3955
"TAMIL NADU","KANYAKUMARI",8,432,258,19,0,1,0,718
"TAMIL NADU","KARUR",0,70,261,18,24,5,8,386
"TAMIL NADU","KRISHNAGIRI",0,21,261,24,6,2,1,315
"TAMIL NADU","MADURAI",0,260,19,1,0,0,5,285
"TAMIL NADU","NAGAPATTINAM",11,29,6416,6110,207,86,13,12872
"TAMIL NADU","NAMAKKAL",0,11,102,3,0,3,0,119
"TAMIL NADU","NILGIRIS",0,1,0,0,0,0,0,1
"TAMIL NADU","PERAMBALUR",1,76,1154,1370,597,555,1,3754
"TAMIL NADU","PUDUKKOTTAI",0,65,161,0,0,19,41,286
"TAMIL NADU","RAMANATHAPURAM",0,8,240,22,10,2,0,282
"TAMIL NADU","SALEM",2,14,274,190,1,6,17,504
"TAMIL NADU","SIVAGANGA",1,101,68,19,5,14,3,211
"TAMIL NADU","THANJAVUR",2,10,16699,3836,98,396,7,21048
"TAMIL NADU","THENI",0,79,1439,280,57,258,4,2117
"TAMIL NADU","THIRUVALLUR",544,287,6748,4474,317,4379,0,16749
"TAMIL NADU","THIRUVARUR",1,15,5215,596,112,720,5,6664
"TAMIL NADU","TIRUCHIRAPPALLI",47,2013,3884,3122,119,172,2,9359
"TAMIL NADU","TIRUNELVELI",2,574,209,7,1,3,0,796
"TAMIL NADU","TIRUVANNAMALAI",0,255,219,11,0,2,0,487
"TAMIL NADU","TUTICORIN DISTRICT",19,255,334,6,2,2,25,643
"TAMIL NADU","VELLORE",3,123,845,96,2,34,28,1131
"TAMIL NADU","VILLUPPURAM",9,716,8657,1466,149,2300,18,13315
"TAMIL NADU","VIRUDHUNAGAR",0,29,21,2,0,0,3,55
"TRIPURA","DHALAI",2,0,2,0,0,1,0,5
"TRIPURA","NORTH TRIPURA",0,4,2,0,0,1,0,7
"TRIPURA","SOUTH TRIPURA",243,302,148,3,0,21,2,719
"TRIPURA","WEST TRIPURA",125,766,43,3,2,90,2,1031
"UTTAR PRADESH","AGRA",161,246,11923,2304,22554,30887,3,68078
"UTTAR PRADESH","ALIGARH",60,33,4149,1240,32114,28365,0,65961
"UTTAR PRADESH","ALLAHABAD",65,729,2773,548,14596,20270,12,38993
"UTTAR PRADESH","AMBEDAKAR NAGAR",131,1427,6414,1086,34651,15775,2,59486
"UTTAR PRADESH","AURAIYA",270,121,1229,1808,24196,9163,0,36787
"UTTAR PRADESH","AZAMGARH",76,4221,11808,556,44004,11734,73,72472
"UTTAR PRADESH","BAGHPAT",56,55,2261,430,5758,16798,3,25361
"UTTAR PRADESH","BAHARAICH",5,55,1164,50639,21834,2188,0,75885
"UTTAR PRADESH","BALLIA",16,63,322,8,35085,7943,1,43438
"UTTAR PRADESH","BALRAMPUR",3,17,1777,20906,21835,2203,427,47168
"UTTAR PRADESH","BANDA",21,102,204,250,2154,10479,0,13210
"UTTAR PRADESH","BARABANKI",151,446,1616,28566,40751,21675,65,93270
"UTTAR PRADESH","BAREILLY",14,91,445,18270,101250,4301,25,124396
"UTTAR PRADESH","BASTI",25,353,5870,21741,35789,11203,10,74991
"UTTAR PRADESH","BIJNOR",17,60,3368,11542,53528,22994,370,91879
"UTTAR PRADESH","BUDAUN",9428,14498,2540,3227,79279,3625,0,112597
"UTTAR PRADESH","BULAND SAHAR",121,143,23011,905,28153,11345,0,63678
"UTTAR PRADESH","CHANDAULI",34,143,1698,234,7136,2717,0,11962
"UTTAR PRADESH","CHITRAKOOT",20,108,191,615,1121,1781,0,3836
"UTTAR PRADESH","DEORIA",6,1935,1438,46950,38921,425,40,89715
"UTTAR PRADESH","ETAH",142,7,62,164,32814,62720,0,95909
"UTTAR PRADESH","ETAWAH",13,2,13,5,4336,29952,0,34321
"UTTAR PRADESH","FAIZABAD",81,1400,3816,943,22381,41156,0,69777
"UTTAR PRADESH","FARRUKHABAD",390,73,509,2505,17129,19624,0,40230
"UTTAR PRADESH","FATEHPUR",207,6,315,140,5522,34636,102,40928
"UTTAR PRADESH","FIROZABAD",123,108,1890,2048,12929,28492,1,45591
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",1,66,812,96,23021,861,2,24859
"UTTAR PRADESH","GHAZIABAD",9,25,4862,701,23838,6476,1,35912
"UTTAR PRADESH","GHAZIPUR",110,194,19618,586,24920,32624,30,78082
"UTTAR PRADESH","GONDA",19,139,1977,24140,71928,8455,2,106660
"UTTAR PRADESH","GORAKHPUR",37,159,2514,61234,21558,1532,3,87037
"UTTAR PRADESH","HAMIRPUR",95,6,3,156,1334,12407,3,14004
"UTTAR PRADESH","HARDOI",48,18,14,4893,67409,14302,1,86685
"UTTAR PRADESH","JALAUN",1,3,68,100,8104,5519,2,13797
"UTTAR PRADESH","JAUNPUR",122,3056,15614,524,40594,17548,3,77461
"UTTAR PRADESH","JHANSI",0,51,149,4596,10518,309,0,15623
"UTTAR PRADESH","JYOTIBA PHULENAGAR",788,4493,2186,1246,68838,746,0,78297
"UTTAR PRADESH","KANNAUJ",140,9,32,1085,8176,22041,18,31501
"UTTAR PRADESH","KANPUR DEHAT",34,4,94,60,11889,19626,20,31727
"UTTAR PRADESH","KANPUR NAGAR",3,1,49,359,17128,17753,185,35478
"UTTAR PRADESH","KAUSHAMBI",16,7,10,74,1259,19504,5,20875
"UTTAR PRADESH","KHERI",91,770,6777,32901,42734,42163,43,125479
"UTTAR PRADESH","KUSHINAGAR",6,63,694,4609,64165,1441,0,70978
"UTTAR PRADESH","LALITPUR",9,35,582,172,193,299,0,1290
"UTTAR PRADESH","LUCKNOW",31,175,470,1426,20547,15529,412,38590
"UTTAR PRADESH","MAHA MAYA NAGAR",32,78,1009,68,11677,40035,1,52900
"UTTAR PRADESH","MAHARAJ GANJ",6,39,2729,31690,36727,590,71,71852
"UTTAR PRADESH","MAHOBA",2,0,13,136,2821,253,0,3225
"UTTAR PRADESH","MAINPURI",39,89,541,2729,12185,43867,0,59450
"UTTAR PRADESH","MATHURA",58,8,91,192,19889,41764,0,62002
"UTTAR PRADESH","MAU",13,1990,7428,506,14831,2018,23,26809
"UTTAR PRADESH","MEERUT",47,59,7112,11624,29194,5048,4,53088
"UTTAR PRADESH","MIRZAPUR",59,275,2135,221,4100,1018,6,7814
"UTTAR PRADESH","MORADABAD",15,498,3666,13672,93247,7288,0,118386
"UTTAR PRADESH","MUZZAFARNAGAR",74,95,2334,9905,26503,52840,1,91752
"UTTAR PRADESH","PILIBHIT",137,92,752,10287,35565,39027,140,86000
"UTTAR PRADESH","PRATAPGARH",193,215,749,26,54329,51199,5,106716
"UTTAR PRADESH","RAEBARELI",88,641,5202,2383,46774,18644,17,73749
"UTTAR PRADESH","RAMPUR",1,19,180,40798,38794,336,0,80128
"UTTAR PRADESH","SAHARANPUR",406,126,9807,20501,20261,35108,3,86212
"UTTAR PRADESH","SANT KABIR NAGAR",40,529,3059,16909,15424,5354,3,41318
"UTTAR PRADESH","SANT RAVI DAS NAGAR",19,620,5233,853,321,509,1,7556
"UTTAR PRADESH","SHAHJAHANPUR",102,25,1169,2553,43373,36158,25,83405
"UTTAR PRADESH","SHRAWASTI",9,7,63,24862,11668,1595,0,38204
"UTTAR PRADESH","SIDDHARTH NAGAR",36,214,3769,35826,9530,3036,35,52446
"UTTAR PRADESH","SITAPUR",55,66,1622,78681,34012,16143,86,130665
"UTTAR PRADESH","SONBHADRA",54,83,652,17,2873,828,320,4827
"UTTAR PRADESH","SULTANPUR",211,152,3686,269,89613,45032,18,138981
"UTTAR PRADESH","UNNAO",62,46,469,3013,36471,31888,1,71950
"UTTAR PRADESH","VARANASI",46,1168,6781,2116,2281,1260,8,13660
"UTTARAKHAND","CHAMPAWAT",0,0,2,24,614,0,0,640
"UTTARAKHAND","DEHRA DUN",0,0,72,0,36,97,0,205
"UTTARAKHAND","HARIDWAR",6,184,2083,1192,12081,9707,9,25262
"UTTARAKHAND","NAINITAL",0,1,332,3,0,142,0,478
"UTTARAKHAND","UDHAM SINGH NAGAR",0,6,2622,34,22166,83,4,24915
"WEST BENGAL","BANKURA",0,423,16841,91,109,122,0,17586
"WEST BENGAL","BARDDHAMAN",0,643,32567,304,19,390,0,33923
"WEST BENGAL","BIRBHUM",0,164,10294,50,30,441,0,10979
"WEST BENGAL","DAKSHIN DINAJPUR",0,428,23037,259,60,127,0,23911
"WEST BENGAL","DARJEELING",0,40,984,2,6,3,0,1035
"WEST BENGAL","HAORA",0,62,466,22,3,17,0,570
"WEST BENGAL","HOOGHLY",0,857,13986,660,27,0,0,15530
"WEST BENGAL","JALPAIGURI",0,1683,5362,73,14,122,0,7254
"WEST BENGAL","KOCH BEHAR",0,2783,35847,1698,236,655,0,41219
"WEST BENGAL","MALDA",0,230,25236,37,19,181,0,25703
"WEST BENGAL","MURSHIDABAD",0,212,65272,714,51,1828,0,68077
"WEST BENGAL","NADIA",0,214,93388,512,27,206,0,94347
"WEST BENGAL","NORTH 24 PARGANAS",0,232,51173,264,54,335,0,52058
"WEST BENGAL","PASHCHIM MIDNAPORE",0,4096,29636,6429,4505,3411,0,48077
"WEST BENGAL","PURBA MIDNAPORE",0,66,6269,1234,1280,1253,0,10102
"WEST BENGAL","PURULIA",0,1,14,0,0,0,0,15
"WEST BENGAL","SOUTH 24 PARGANAS",0,25,6601,126,24,95,0,6871
"WEST BENGAL","UTTAR DINAJPUR",0,1204,42840,52,50,373,0,44519
