"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","AVE 10 HP","NO LIFTING DEVICE","TOTAL"
"BIHAR","SIWAN",10,76,18111,590,3038,2280,0,24105
"BIHAR","SUPAUL",15,10,3150,420,1995,3713,0,9303
"BIHAR","VAISHALI",2,10,25017,188,368,242,0,25827
"BIHAR","WEST CHAMPARAN",1,3,13413,920,1742,425,0,16504
"CHANDIGARH","UT CHANDIGARH",1,2,28,20,4,17,0,72
"CHHATISGARH","BASTER",2,161,164,40,4,17,1419,1807
"CHHATISGARH","BIJAPUR",0,3,0,0,0,1,12,16
"CHHATISGARH","BILASPUR",77,1851,4548,140,12,53,8057,14738
"CHHATISGARH","DANTEWADA",1,7,52,0,1,0,140,201
"CHHATISGARH","DHAMTARI",135,6186,1983,361,10,31,1829,10535
"CHHATISGARH","DURG",65,6741,5844,210,48,37,4155,17100
"CHHATISGARH","JANJGIR-CHAMPA",44,328,1607,48,1,6,7567,9601
"CHHATISGARH","JASHPUR",0,0,1,0,0,4,89,94
"CHHATISGARH","KANKER",24,702,104,157,1,47,162,1197
"CHHATISGARH","KAWARDHA",4,1237,1549,418,2,23,427,3660
"CHHATISGARH","KORBA",4,51,28,1,1,3,122,210
"CHHATISGARH","KORIA",10,8,9,0,0,1,57,85
"CHHATISGARH","MAHASAMUND",13,2468,556,123,17,27,1134,4338
"CHHATISGARH","NARAYANPUR",0,3,1,0,0,0,413,417
"CHHATISGARH","RAIGARH",6,102,3270,156,5,273,15087,18899
"CHHATISGARH","RAIPUR",171,4685,2046,290,62,55,2034,9343
"CHHATISGARH","RAJNANDGAON",35,1611,311,229,6,9,37,2238
"CHHATISGARH","SURGUJA",12,109,61,0,1,242,518,943
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",1,11,32,0,0,39,0,83
"DELHI","ALIPUR",0,1,3673,4,465,273,1,4417
"DELHI","MAHRAULI",8,0,1,0,37,0,0,46
"DELHI","NAJAFGARH",3,932,2188,38,207,15,36,3419
"DELHI","NANGLOI",0,0,377,0,0,4,0,381
"DELHI","SHADARA-NORTHEAST",0,1,23,0,19,11,0,54
"DELHI","SHAHDARA-EAST",0,0,18,78,180,1,0,277
"GOA","NORTH GOA",1,16,12,1,0,2,3,35
"GOA","SOUTH GOA",2,23,32,0,0,1,12,70
"GUJARAT","AHMEDABAD",28,1,37,41,219,266,4,596
"GUJARAT","AMRELI",1,26,2042,1012,107,776,6,3970
"GUJARAT","ANAND",0,8,4,158,201,3884,101,4356
"GUJARAT","BANASKANTHA",4,0,469,30,526,3318,358,4705
"GUJARAT","BHARUCH",0,92,1282,164,548,1932,1,4019
"GUJARAT","BHAVNAGAR",0,108,580,103,2,11,0,804
"GUJARAT","DAHOD",0,0,124,0,0,0,5,129
"GUJARAT","DANG",0,0,1,0,0,0,0,1
"GUJARAT","GANDHINAGAR",1,0,1,14,0,647,0,663
"GUJARAT","JAMNAGAR",0,0,12,1,3,36,0,52
"GUJARAT","JUNAGADH",64,4,702,2191,267,848,2,4078
"GUJARAT","KACHCHH",0,11,63,4604,362,1086,296,6422
"GUJARAT","KHEDA",15,1,617,1635,943,2993,6,6210
"GUJARAT","MEHSANA",0,1,66,34,24,91,1,217
