"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"ASSAM","LAKHIMPUR",0,0,11,220,0,0,0,0,0,0,0,0,91,0,102,220
"ASSAM","MORIGAON",3,90,4,87.54,0,0,0,0,0,0,0,0,15,0,22,177.54
"ASSAM","NAGOAN",4,115,12,334.5,1,20,0,0,1,50,1,70,28,0,47,589.5
"ASSAM","NALBARI",11,251,6,66.75,6,79,0,0,0,0,0,0,41,0,64,396.75
"ASSAM","SIBSAGAR",0,0,4,17.45,11,118,0,0,0,0,0,0,18,0,33,135.45
"ASSAM","SONITPUR",16,566,12,429,11,626,1,60,0,0,7,1402,69,0,116,3083
"ASSAM","TINSUKIA",1,12,13,77.53,19,360,0,0,0,0,0,0,39,0,72,449.53
"ASSAM","UDALGURI",0,0,29,3250.2,0,0,1,30,0,0,0,0,6,0,36,3280.2
"BIHAR","ARARIA",0,0,3,20,0,0,23,230,0,0,0,0,16,70,42,320
"BIHAR","AURANGABAD",33,270,643,6310,37,370,263,2560,0,0,0,0,122,1110,1098,10620
"BIHAR","BANKA",0,0,13,120,0,0,16,150,1,10,0,0,0,0,30,280
"BIHAR","BEGUSARAI",60,310,192,1640,22,150,1676,16490,3,30,3,30,50,340,2006,18990
"BIHAR","BHAGALPUR",0,0,9,90,0,0,18,180,0,0,0,0,0,0,27,270
"BIHAR","BHOJPUR",47,270,240,2130,10,80,255,2440,1,0,0,0,0,0,553,4920
"BIHAR","BUXAR",11,100,186,1820,0,0,360,3600,0,0,0,0,0,0,557,5520
"BIHAR","DARBHANGA",1,0,26,260,0,0,64,640,0,0,0,0,0,0,91,900
"BIHAR","EAST CHAMPARAN",9,60,34,290,0,0,265,2650,2,20,0,0,0,0,310,3020
"BIHAR","GAYA",31,300,273,2580,11,80,47,410,4,40,1,0,2,20,369,3430
"BIHAR","GOPAALGANJ",39,160,154,1490,11,20,140,1330,1,0,3,0,28,70,376,3070
"BIHAR","JAMUI",38,80,397,1630,46,450,77,750,0,0,0,0,18,150,576,3060
"BIHAR","JEHANABAD",3,30,317,3140,0,0,268,2660,1,10,0,0,18,40,607,5880
"BIHAR","KAIMUR (BHABUA)",10,40,197,1620,12,70,72,550,3,10,1,0,56,420,351,2710
"BIHAR","KATIHAR",2,10,423,3800,1,10,2,10,0,0,0,0,6,50,434,3880
"BIHAR","KHAGARIA",14,60,187,1700,3,10,669,6550,0,0,2,20,9,60,884,8400
"BIHAR","KISHANGANJ",3,0,40,390,0,0,1,10,0,0,0,0,0,0,44,400
"BIHAR","LAKHISARAI",3,10,185,1810,0,0,54,480,0,0,0,0,3,30,245,2330
"BIHAR","MADHEPURA",0,0,12,80,8,70,41,400,0,0,0,0,7,20,68,570
"BIHAR","MADHUBANI",106,1040,116,1130,5,30,177,1750,1,0,0,0,2,20,407,3970
"BIHAR","MUNGER",366,3540,349,3000,7,50,150,1420,2,10,1,10,66,500,941,8530
"BIHAR","MUZAFFARPUR",2,0,4,20,0,0,138,1340,0,0,0,0,3,0,147,1360
"BIHAR","NALANDA",126,1060,543,4930,110,560,270,2420,8,20,5,20,97,670,1159,9680
"BIHAR","NAWADA",129,1140,1581,14240,62,510,118,1170,6,10,1,0,5,30,1902,17100
"BIHAR","PATNA",283,1810,1125,9100,243,1940,1379,11820,10,70,14,20,174,740,3228,25500
"BIHAR","PURNIA",11,60,750,7080,29,240,156,1550,0,0,0,0,68,680,1014,9610
"BIHAR","ROHTAS(SASARAM)",24,180,1344,13270,40,380,1013,9760,1,10,2,20,48,290,2472,23910
"BIHAR","SAHARSA",8,0,148,1260,0,0,248,2400,0,0,1,0,43,350,448,4010
"BIHAR","SAMASTIPUR",19,70,64,630,52,490,552,5140,0,0,2,20,18,110,707,6460
"BIHAR","SARAN",8,20,23,130,59,590,424,4210,1,0,0,0,13,30,528,4980
"BIHAR","SHEKHPURA",11,90,42,400,3,20,178,1780,3,10,0,0,1,10,238,2310
"BIHAR","SHEOHAR",2,10,58,570,1,10,33,310,1,10,0,0,11,50,106,960
"BIHAR","SITAMARHI",21,100,22,200,4,30,125,1200,0,0,0,0,65,600,237,2130
"BIHAR","SIWAN",11,70,247,2250,4,40,400,3980,2,20,0,0,130,1020,794,7380
"BIHAR","SUPAUL",0,0,41,390,0,0,23,230,0,0,0,0,3,30,67,650
"BIHAR","VAISHALI",1,0,9,90,5,50,68,680,0,0,0,0,0,0,83,820
"BIHAR","WEST CHAMPARAN",9,20,84,770,2,10,14,120,0,0,0,0,4,20,113,940
"CHANDIGARH","UT CHANDIGARH",0,0,0,0,19,1312.9,0,0,0,0,0,0,0,0,19,1312.9
"CHHATISGARH","BASTER",0,0,4,6.17,0,0,0,0,0,0,0,0,0,0,4,6.17
"CHHATISGARH","BILASPUR",337,253.9,1006,2526.47,39,117.08,100,320.78,10,32.78,7,26.64,29,88.66,1528,3366.31
"CHHATISGARH","DANTEWADA",0,0,2,7.61,0,0,0,0,0,0,0,0,1,0,3,7.61
"CHHATISGARH","DHAMTARI",0,0,7,3.48,0,0,0,0,0,0,0,0,1,2,8,5.48
"CHHATISGARH","DURG",43,134.31,115,445.71,8,45.1,22,89.31,0,0,11,40.43,1,0,200,754.86
"CHHATISGARH","JANJGIR-CHAMPA",149,217.66,2507,3966.5,4,32.37,132,293.1,1,2.18,17,3.88,243,681.74,3053,5197.43
"CHHATISGARH","JASHPUR",1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33
"CHHATISGARH","KANKER",0,0,6,6.06,0,0,0,0,0,0,0,0,0,0,6,6.06
