"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"MADHYA PRADESH","CHHINDWARA",104,183.11,1131,2062.59,1572,3155.48,1592,3217.12,9,18.9,52,111.87,114,0,4574,8749.07
"MADHYA PRADESH","DAMOH",63,157.01,4,14.11,3,15.14,2834,9710.11,18,50.49,44,166.44,0,0,2966,10113.3
"MADHYA PRADESH","DATIA",2,23.86,102,553.08,18,103.08,268,1607.66,0,0,0,0,6,0,396,2287.68
"MADHYA PRADESH","DEWAS",241,525.6,1515,3896.8,1263,3304.67,5733,13050.26,2,2.49,0,0,1435,0,10189,20779.82
"MADHYA PRADESH","DHAR",1,0,435,1269.09,309,1061.82,218,712.67,2,5.2,0,0,6,0,971,3048.78
"MADHYA PRADESH","GUNA",12,35.7,2334,9433.61,146,561.99,4789,25940.09,0,0,0,0,2,9.43,7283,35980.82
"MADHYA PRADESH","GWALIOR",529,1197.12,1965,3226.45,64,122.03,2355,6933.37,4,6.52,19,0,85,212.68,5021,11698.17
"MADHYA PRADESH","HARDA",23,57.05,410,1345.48,98,325.09,351,1316.81,4,9,26,46.93,40,69.14,952,3169.5
"MADHYA PRADESH","HOSHANGABAD",11,277.2,429,2077.8,0,0,124,662.06,0,0,0,0,0,0,564,3017.06
"MADHYA PRADESH","INDORE",0,0,7,22.64,39,94.95,72,250.97,0,0,0,0,0,0,118,368.56
"MADHYA PRADESH","JABALPUR",7,49.87,1,6.76,1,5,343,1141.26,0,0,3194,17823.27,0,0,3546,19026.16
"MADHYA PRADESH","JHABUA",2,2,36,42.16,6,18.94,93,107.41,0,0,0,0,0,0,137,170.51
"MADHYA PRADESH","KATNI",1,8,50,184.82,41,270.33,265,861.83,0,0,2,5.77,1,0,360,1330.75
"MADHYA PRADESH","KHANDWA",6,9.61,1800,4736.98,249,617.71,103,277.36,4,16,1,1,0,0,2163,5658.66
"MADHYA PRADESH","KHARGONE",8,20.55,2149,5970.61,268,753.6,124,1113.76,9,36,0,0,9,0,2567,7894.52
"MADHYA PRADESH","MANDLA",0,0,13,6.86,0,0,42,84.8,0,0,1,3,32,5.14,88,99.8
"MADHYA PRADESH","MANDSAUR",1,1.34,125,327.82,26,56.92,17,30.74,1,4,0,0,5,2,175,422.82
"MADHYA PRADESH","MORENA",9,35.9,89,454.44,4,0,1260,11160.22,0,0,0,0,0,0,1362,11650.56
"MADHYA PRADESH","NARSINGHPUR",8,331.83,7,68.3,0,0,18,100.94,1,50,245,1508.51,1,4,280,2063.58
"MADHYA PRADESH","NEEMUCH",178,445.02,785,2589,836,2101.75,456,946.59,1,1.47,0,0,1,0,2257,6083.83
"MADHYA PRADESH","PANNA",28,88.43,47,148.93,119,663.63,2984,12407.26,29,3.63,21,108.11,0,0,3228,13419.99
"MADHYA PRADESH","RAISEN",46,176.62,34,67.7,36,96.22,1459,4505.07,0,0,128,447.87,0,0,1703,5293.48
"MADHYA PRADESH","RAJGARH",3,7.75,73,69.1,467,1418.53,1330,3798.53,0,0,0,0,82,0,1955,5293.91
"MADHYA PRADESH","RATLAM",85,232.82,2531,6588.7,1104,3103.52,4880,13353.65,1,3,0,0,38,2,8639,23283.69
"MADHYA PRADESH","REWA",365,1355.29,1847,6521.53,693,2009.07,8055,23285.87,5,13.5,2,14.5,50,0,11017,33199.76
"MADHYA PRADESH","SAGAR",0,0,0,0,1,0.7,1651,4455.35,0,0,71,328.69,0,0,1723,4784.74
"MADHYA PRADESH","SATNA",279,966.29,2446,7820.79,505,1270.31,6080,21696.88,61,103.7,42,218.39,209,43.82,9622,32120.18
"MADHYA PRADESH","SEHORE",0,0,14,70,393,1163.84,1429,6330.26,17,32,0,0,10,32,1863,7628.1
"MADHYA PRADESH","SEONI",1,0.5,24,81.97,28,88.86,110,287.46,0,0,102,462.15,44,0,309,920.94
"MADHYA PRADESH","SHAHDOL",45,186.37,68,296.33,11,54.03,73,476.94,0,0,1,9.86,1,1,199,1024.53
"MADHYA PRADESH","SHAJAPUR",0,0,55,112.36,449,1436,1515,2766.46,1,1.05,3,4.36,0,0,2023,4320.23
"MADHYA PRADESH","SHEOPUR",138,358.84,1656,5806.11,147,547.37,2751,10878.28,1,7,1,1.38,200,0,4894,17598.98
"MADHYA PRADESH","SHIVPURI",123,285.68,892,2998.92,58,221.57,3562,15444.2,2,10.4,2,4,3,4.47,4642,18969.24
"MADHYA PRADESH","SIDHI",41,211.86,810,4644.11,51,269.01,589,2022.33,0,0,0,0,0,0,1491,7147.31
"MADHYA PRADESH","TIKAMGARH",3,7,15,39.41,18,75.75,1,1.7,0,0,0,0,0,0,37,123.86
"MADHYA PRADESH","UJJAIN",1,2.27,0,0,259,318.04,42,60.19,20,11.01,0,0,0,0,322,391.51
"MADHYA PRADESH","UMARIA",23,35.75,194,355.98,5,4,275,1030.05,1,0,0,0,0,0,498,1425.78
"MADHYA PRADESH","VIDISHA",1,7,1,0.5,72,345.29,3174,12910.21,2,11,0,0,10,5.05,3260,13279.05
"MAHARASHTRA","AHMEDNAGAR",523,1133.99,702,1210.42,3107,4870.61,388,627.65,25,72.79,0,0,665,1533.52,5410,9448.98
"MAHARASHTRA","AKOLA",0,0,54,86.32,46,98.5,4,3.4,1,0.8,22,100.15,1,0,128,289.17
"MAHARASHTRA","AMRAVATI",3,5.1,110,224.26,176,277.91,322,554.47,5,13.15,18,49.78,0,0,634,1124.67
"MAHARASHTRA","AURANGABAD",62,69.96,107,200.81,518,978.97,53,95,14,19.48,0,0,5,0,759,1364.22
"MAHARASHTRA","BEED",53,97.14,724,1299.43,4853,11669.63,404,972.06,1,0.1,0,0,4,8,6039,14046.36
"MAHARASHTRA","BHANDARA",0,0,4,5.22,0,0,25,26.75,0,0,0,0,0,0,29,31.97
"MAHARASHTRA","BULDANA",0,0,127,156.46,79,128.12,209,240.04,5,18.09,18,25.69,63,3.7,501,572.1
"MAHARASHTRA","CHANDRAPUR",7,5.71,47,37.63,5,10.49,122,136.56,0,0,4,7.46,0,0,185,197.85
"MAHARASHTRA","DHULE",63,118.19,1483,1837.83,2429,4317.52,1071,1948.01,25,57.04,0,0,256,457.35,5327,8735.94
"MAHARASHTRA","GADCHIROLI",0,0,12,69.24,2,0,17,8.56,0,0,0,0,0,0,31,77.8
"MAHARASHTRA","GONDIYA",12,13.4,13,20.06,10,15.39,79,133.35,0,0,0,0,0,0,114,182.2
"MAHARASHTRA","HINGOLI",1,3.7,49,199.96,63,181.53,226,668.64,1,2,0,0,0,0,340,1055.83
"MAHARASHTRA","JALGAON",97,196.83,504,842,3964,9252.99,1695,4030.75,2318,5618.6,23,61.18,170,260.58,8771,20262.93
"MAHARASHTRA","JALNA",2,3.5,43,92.48,348,1065.36,16,12.5,0,0,0,0,4,0,413,1173.84
"MAHARASHTRA","KOLHAPUR",33,56.85,493,624.05,601,849.07,629,1007.09,0,0,0,0,77,16.95,1833,2554.01
"MAHARASHTRA","LATUR",3431,6147.82,494,557.77,9117,20042.85,442,918.9,76,169.7,19,38.42,47,94,13626,27969.46
"MAHARASHTRA","NAGPUR",1,0,6,5.7,4,1.9,10,19.5,0,0,0,0,0,0,21,27.1
"MAHARASHTRA","NANDED",35,106.46,584,1407.99,949,2464.64,148,424.79,18,71.78,9,40.16,2,2.3,1745,4518.12
"MAHARASHTRA","NANDURBAR",185,375.69,888,1777.22,2826,6531.99,785,2038.41,181,439.16,111,304.21,585,141.49,5561,11608.17
"MAHARASHTRA","NASHIK",126,176.19,1022,1921.87,505,957.92,41,55.19,13,21.18,1,1,5752,7426.04,7460,10559.39
"MAHARASHTRA","OSMANABAD",244,415.65,3417,7989.93,9617,25087.6,662,1810.32,67,123.04,122,300.61,216,15.87,14345,35743.02
"MAHARASHTRA","PARBHANI",1,1,57,85.04,112,382.51,4,5,0,0,0,0,0,0,174,473.55
"MAHARASHTRA","PUNE",161,461.75,481,862.86,1352,6291.61,233,597.22,1,0.27,0,0,1,2,2229,8215.71
"MAHARASHTRA","RAIGHAR",0,0,0,0,69,133.6,1,0.7,0,0,0,0,1,0.35,71,134.65
"MAHARASHTRA","RATNAGIRI",1,0.2,3,0.84,5,5.94,7,6.94,2,2.19,0,0,1,0.3,19,16.41
"MAHARASHTRA","SANGLI",150,325.2,5225,8748.28,5710,10920.81,1549,4627.63,3865,5797.31,2,2.81,71,53.9,16572,30475.94
"MAHARASHTRA","SATARA",12,11.8,137,129.97,449,673.48,107,84.95,7,10.15,0,0,0,0,712,910.35
"MAHARASHTRA","SINDHUDURGA",2,1.85,18,14.2,2,1.6,2,2.74,0,0,0,0,2,0,26,20.39
"MAHARASHTRA","SOLAPUR",231,534.3,5945,14124.2,10393,22243.87,1033,1675.45,1448,2862.03,30,38.25,265,50.13,19345,41528.23
"MAHARASHTRA","THANE",0,0,19,3.9,47,22.3,1,1.7,1,1.85,0,0,0,0,68,29.75
"MAHARASHTRA","WARDHA",0,0,3,3.75,0,0,8,0,0,0,1,1.5,0,0,12,5.25
"MAHARASHTRA","WASHIM",69,108.16,170,230.59,106,211.53,229,349.98,43,77.06,8,9.7,0,0,625,987.02
"MAHARASHTRA","YAVATMAL",10,12.4,127,250.33,19,36.43,30,46.6,0,0,47,117.1,0,0,233,462.86
"MEGHALAYA","WEST GARO HILLS",0,0,1,44,0,0,1,16,0,0,0,0,3,0,5,60
"NAGALAND","DIMAPUR",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"ODISHA","ANGUL",1,1.03,61,39.08,2,0.71,59,73.27,0,0,0,0,5,0,128,114.09
"ODISHA","BALASORE",46,517.42,147,2255.35,157,2296.41,6,72.49,0,0,0,0,1369,0,1725,5141.67
"ODISHA","BARGARH",7,13.81,152,449.6,7,8.66,134,450.51,0,0,0,0,39,0,339,922.58
"ODISHA","BHADRAK",26,333.63,63,788.3,73,808.07,3,41.15,0,0,0,0,483,20,648,1991.15
"ODISHA","BOLANGIR",3,35.6,21,47.91,0,0,1,1,0,0,1,1.2,2,0,28,85.71
"ODISHA","CUTTACK",17,184.9,83,764.36,51,535.29,16,135.32,0,0,0,0,187,0,354,1619.87
"ODISHA","DEOGARH",2,1.03,162,81.52,3,4.14,24,7.57,0,0,1,0.8,10,0.22,202,95.28
"ODISHA","DHENKANAL",3,8.59,7,15.15,15,52.3,8,18.9,0,0,2,6.46,7,4.04,42,105.44
"ODISHA","GAJAPATI",0,0,2,1.7,0,0,1,1,0,0,0,0,0,0,3,2.7
"ODISHA","GANJAM",35,322.56,45,618.69,6,27.62,1,4.4,0,0,0,0,39,0,126,973.27
"ODISHA","JAGATSINGHPUR",0,0,14,82.17,23,200.48,4,30.83,0,0,0,0,259,0,300,313.48
"ODISHA","JAJAPUR",31,488.32,98,1682.78,34,471.55,28,107.13,0,0,0,0,637,0,828,2749.78
"ODISHA","JHARSUGUDA",1,1.21,120,195.3,1,6.07,4,24.82,0,0,0,0,8,0,134,227.4
"ODISHA","KALAHANDI",0,0,5,8.36,0,0,0,0,0,0,0,0,3,0,8,8.36
"ODISHA","KANDHAMAL",0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,1,0.6
"ODISHA","KENDRAPARA",0,0,9,36.01,4,64.45,1,1.62,0,0,0,0,76,2,90,104.08
"ODISHA","KEONJHAR",5,42.12,11,128.96,3,30,11,3.78,0,0,0,0,111,0,141,204.86
"ODISHA","KHURDA",2,16.5,25,79.4,2,14.07,5,13.71,0,0,0,0,31,0,65,123.68
"ODISHA","KORAPUT",1,4,4,25.95,0,0,5,11.9,0,0,0,0,2,0,12,41.85
"ODISHA","MALKANAGIRI",14,50.59,0,0,0,0,10,8.89,0,0,0,0,1,0.4,25,59.88
"ODISHA","MAYURBHANJA",47,461.56,39,248.05,73,903.39,20,97.66,0,0,0,0,275,0,454,1710.66
"ODISHA","NAWARANGAPUR",0,0,18,53.17,0,0,21,55.19,0,0,0,0,10,0,49,108.36
"ODISHA","NAYAGARH",0,0,7,9.73,0,0,3,13.05,0,0,0,0,1,0,11,22.78
"ODISHA","NUAPADA",1,6.06,12,20.7,0,0,0,0,0,0,0,0,6,0,19,26.76
"ODISHA","PURI",10,114.07,35,272.96,12,138.86,3,10.11,0,0,0,0,43,0,103,536
"ODISHA","RAYAGADA",2,5.5,8,37.42,2,8,2,5.24,0,0,1,1,12,2,27,59.16
"ODISHA","SAMBALPUR",1,3.2,35,69.87,2,3.94,5,6.86,0,0,0,0,7,0,50,83.87
"ODISHA","SONEPUR",0,0,5,6.29,0,0,0,0,0,0,0,0,0,0,5,6.29
"ODISHA","SUNDARGARH",0,0,75,122.16,0,0,13,30.63,0,0,0,0,30,0,118,152.79
"PUDUCHERRY","PUDUCHERRY",796,2620.45,691,2286.37,275,932.08,226,678.56,1,8,0,0,1,0,1990,6525.46
"PUNJAB","AMRITSER",243,1545.04,2226,12534,89,510.88,1,3.22,0,0,0,0,0,0,2559,14593.14
"PUNJAB","BARNALA",33,116.9,26318,176867.68,70,600.5,0,0,2,16.4,0,0,0,0,26423,177601.48
"PUNJAB","BATHINDA",407,2697.6,3203,21158.64,8,67.16,2,20.14,1,4.04,0,0,1932,6476.62,5553,30424.2
"PUNJAB","FARIDKOT",43,458.34,2431,14799.74,4,30.02,0,0,0,0,0,0,0,0,2478,15288.1
"PUNJAB","FATEHGARH SAHIB",1,8.1,360,2853.48,71,681.86,0,0,0,0,0,0,0,0,432,3543.44
"PUNJAB","FEROZEPUR",2000,9377.74,11583,104290.1,55,399.66,0,0,0,0,0,0,0,0,13638,114067.5
"PUNJAB","GURDASPUR",8,387.66,2365,12624.6,104,5946.74,0,0,0,0,1,4.04,0,0,2478,18963.04
"PUNJAB","HOSHIARPUR",894,7164.42,16645,106478.2,2569,38622.02,28,147.2,6,42,1,2.42,532,2798.04,20675,155254.3
"PUNJAB","JALANDHAR",249,1523.88,26759,142021.16,3287,22267.96,21,108.4,0,0,0,0,3,4.8,30319,165926.2
"PUNJAB","KAPURTHALA",40,224.98,2495,13714.28,48,444.4,0,0,0,0,0,0,1,0,2584,14383.66
"PUNJAB","LUDHIANA",315,2028.04,28006,167887.38,0,0,0,0,0,0,0,0,0,0,28321,169915.42
"PUNJAB","MANSA",1850,12339.64,2429,13406.92,316,2521.26,0,0,0,0,0,0,0,0,4595,28267.82
"PUNJAB","MOGA",43,322.52,41793,261022.28,32,230.18,6,25.88,1,6.6,5,28,0,0,41880,261635.46
"PUNJAB","MOHALI",474,6013.6,2112,19540.94,0,0,0,0,0,0,0,0,0,0,2586,25554.54
"PUNJAB","MUKATSAR",119,868,101,517.2,0,0,0,0,0,0,0,0,0,0,220,1385.2
"PUNJAB","NAWANSHAHAR",334,2070.24,8919,66448.02,0,0,0,0,0,0,0,0,0,0,9253,68518.26
"PUNJAB","PATIALA",201,2201.9,8530,75746.24,287,2901.16,63,479.8,1,10,0,0,0,0,9082,81339.1
"PUNJAB","ROPAR",238,1384.76,389,1963.46,12,351,0,0,0,0,0,0,0,0,639,3699.22
"PUNJAB","SANGRUR",994,6992.78,99975,617723.78,374,2773.42,14,94.4,1,7.58,0,0,2,8,101360,627599.96
"PUNJAB","TARN TARAN",7,36.78,11240,66022.6,1,2.04,0,0,0,0,0,0,0,0,11248,66061.42
"RAJASTHAN","AJMER",10,9.02,77,96.79,123,360.4,64,126.69,5,26.06,66,301.56,134,1.72,479,922.24
"RAJASTHAN","ALWAR",306,1746.16,1272,5575.2,1794,9751.71,4523,30582.98,143,841.47,1478,6554.45,109,44.95,9625,55096.92
"RAJASTHAN","BANSWARA",7,11.15,43,231.4,189,944.97,116,485.87,4,7.6,2,6,19,0,380,1686.99
"RAJASTHAN","BARAN",917,5662.05,5755,32875.39,261,3180.6,10808,76667.65,7,34.42,8,25.76,850,1337.51,18606,119783.38
"RAJASTHAN","BARMER",59,296.51,50,225.95,136,1500.07,2,6.25,4,25.4,2821,32378.6,170,0,3242,34432.78
"RAJASTHAN","BHARATPUR",175,1468.94,368,3015.61,817,6303.42,7261,60034.31,4,3.93,3,15.5,51,0,8679,70841.71
"RAJASTHAN","BHILWARA",142,503.04,476,1669.5,220,788.72,410,1809.21,10,66.38,54,216.05,68,1.91,1380,5054.81
"RAJASTHAN","BIKANER",4,20.5,7,43.91,0,0,6,40.08,67,650.64,8166,101017.53,106,0,8356,101772.66
"RAJASTHAN","BUNDI",319,1022.11,2292,4091.12,31,220.86,1912,8581.79,6,11.75,15,57.47,564,24.16,5139,14009.26
"RAJASTHAN","CHITTORGARH",1527,4591.13,2709,8391.69,4654,18608.63,4943,21979.23,187,1133.12,203,1708.22,482,576.47,14705,56988.49
"RAJASTHAN","CHURU",4,21.18,5,18.49,0,0,5,14.23,0,0,3288,35996.32,84,0,3386,36050.22
"RAJASTHAN","DAUSA",84,361.66,318,1201.67,737,4558.71,2166,9207.77,2,5.7,37,144.37,60,0,3404,15479.88
"RAJASTHAN","DHOLPUR",13,86.61,87,484.08,2,45.8,1041,8578.12,0,0,3,11,4,4,1150,9209.61
"RAJASTHAN","DUNGARPUR",6,19.35,30,58.72,1,1.44,204,957.57,0,0,0,0,0,0,241,1037.08
"RAJASTHAN","HANUMANGARH",0,0,25,14.63,0,0,0,0,0,0,0,0,0,0,25,14.63
"RAJASTHAN","JAIPUR",166,635.1,1693,6043.6,1453,4662.09,956,2669.27,328,1214.04,7806,34061.41,529,72.1,12931,49357.61
"RAJASTHAN","JAISALMER",1,5.99,5,97.62,0,0,2,38.4,68,759.84,2177,37998.24,30,0,2283,38900.09
"RAJASTHAN","JALORE",615,2990.01,1356,8443.87,94,685.67,476,2985.42,16,96.6,4257,27001.49,287,29.8,7101,42232.86
"RAJASTHAN","JHALAWAR",345,1967.41,2957,25432.52,64,396.46,322,2478.54,0,0,4,7.9,43,0,3735,30282.83
"RAJASTHAN","JHUNJHUNU",0,0,103,383.47,0,0,31,96.21,15,51.46,1058,5678.29,15,0,1222,6209.43
"RAJASTHAN","JODHPUR",3298,23566.29,5349,52071.01,1718,15629.93,3029,26971.38,337,2977.32,7155,110608.81,1430,2768.2,22316,234592.94
"RAJASTHAN","KAROLI",89,496.34,286,1917.68,1616,9195.55,2572,12141.54,2,8.92,7,30.37,106,0,4678,23790.4
"RAJASTHAN","KOTA",615,1782.73,3103,14925.14,464,2635.67,6802,33365.26,33,252.12,11,56.97,1645,0,12673,53017.89
"RAJASTHAN","NAGAUR",1404,19403.96,3826,54799.6,637,7872.34,2721,37838.94,15,93.86,4589,57831.31,486,53.82,13678,177893.83
"RAJASTHAN","PALI",304,1397.39,466,2996.61,567,4930.05,17,55.54,1,14.6,4,16.58,171,0.03,1530,9410.8
"RAJASTHAN","RAJSAMAND",12,19.3,111,284.53,61,196.81,127,306.97,0,0,3,11.23,74,0,388,818.84
"RAJASTHAN","SAWAI MADHOPUR",262,718.4,298,1129.09,1,0.5,3245,19867.73,0,0,0,0,113,3.8,3919,21719.52
"RAJASTHAN","SIKAR",37,201.33,325,1194.86,57,209.97,132,717.58,1,3.6,8137,43518.42,164,0,8853,45845.76
"RAJASTHAN","SIROHI",41,193.2,53,221.89,21,156.64,21,106.45,0,0,6,51.3,18,0,160,729.48
"RAJASTHAN","TONK",20,164.4,97,663.98,0,0,314,4040.83,0,0,0,0,79,3.08,510,4872.29
"RAJASTHAN","UDAIPUR",92,178.23,387,454,213,788.43,457,1452.78,17,43.63,19,34.77,113,7.15,1298,2958.99
"TAMIL NADU","COIMBATORE",2659,1815.36,6710,4308.01,1763,492.11,3071,2007.02,783,796.4,0,0,3671,328.47,18657,9747.37
"TAMIL NADU","CUDDALORE",8158,17180.18,10476,29607.27,4863,9688.89,131,314.13,9,235.05,8,24.82,103,144.23,23748,57194.57
"TAMIL NADU","DHARMAPURI",55,56.67,101,143.98,31,36.62,1,1.38,0,0,0,0,0,0,188,238.65
"TAMIL NADU","DINDIGUL",1176,1341.29,1126,1904.86,66,77.05,29,371.22,23,34.06,0,0,13,2,2433,3730.48
"TAMIL NADU","ERODE",2347,2007.56,6137,5022.3,1223,1003.94,97,86.56,15,11.43,10,7.88,444,1.46,10273,8141.13
"TAMIL NADU","KANCHEEPURAM",293,262.31,2405,2653.29,256,437.61,2,1.01,2,1,1,6.75,0,0,2959,3361.97
"TAMIL NADU","KANYAKUMARI",73,46.7,166,113.28,86,81.53,9,18.41,0,0,0,0,8,5.17,342,265.09
"TAMIL NADU","KARUR",372,360.63,1151,1604.1,388,491.42,144,125.35,2,2.84,0,0,416,586.79,2473,3171.13
"TAMIL NADU","KRISHNAGIRI",2587,5605.08,1596,4205.8,499,571.65,88,204.9,18,42.08,0,0,47,32.27,4835,10661.78
"TAMIL NADU","MADURAI",203,121.36,236,175.82,34,15.85,15,23.05,0,0,0,0,18,0,506,336.08
"TAMIL NADU","NAGAPATTINAM",502,1003.62,1359,2900.19,953,2469.42,8,16.18,0,0,0,0,138,296.27,2960,6685.68
"TAMIL NADU","NAMAKKAL",646,653.93,431,432.9,200,185.46,2977,3648.92,2,2.17,0,0,50,0,4306,4923.38
"TAMIL NADU","NILGIRIS",0,0,0,0,0,0,0,0,0,0,0,0,1,0.77,1,0.77
"TAMIL NADU","PERAMBALUR",956,1421.4,1111,1425.6,1659,2455.22,37,30.88,9,11.71,24,13.39,95,4.6,3891,5362.8
"TAMIL NADU","PUDUKKOTTAI",796,1639.72,4933,9018.66,3346,8264.81,30,160.09,4,0.95,1,1,32,14.86,9142,19100.09
"TAMIL NADU","RAMANATHAPURAM",125,158.68,497,1379.73,268,406.8,506,615.39,2,17.06,0,0,46,36.71,1444,2614.37
"TAMIL NADU","SALEM",3751,3086.73,5245,4311.17,2012,1813.34,44,5.2,5,5.44,0,0,131,3.39,11188,9225.27
"TAMIL NADU","SIVAGANGA",226,1333.36,826,1970.37,75,297.45,65,51.12,4,24.55,0,0,188,6.69,1384,3683.54
"TAMIL NADU","THANJAVUR",4934,9923.62,20191,37770.1,1130,2402.7,301,579.25,22,82.38,1,0.8,600,169.88,27179,50928.73
"TAMIL NADU","THENI",150,270.8,540,609.15,75,83.63,0,0,10,8.6,0,0,4,0,779,972.18
"TAMIL NADU","THIRUVALLUR",1053,1483.16,821,1807.55,517,1745.52,84,79.45,38,66.69,0,0,439,319.4,2952,5501.77
"TAMIL NADU","THIRUVARUR",2706,2750.06,6491,5473.53,379,313.59,96,69.2,0,0,3,0.16,65,24,9740,8630.54
"TAMIL NADU","TIRUCHIRAPPALLI",947,886.5,359,542.28,41,70.55,18,13.27,0,0,0,0,96,0.1,1461,1512.7
"TAMIL NADU","TIRUNELVELI",152,179.46,262,305.26,54,49.96,4,2.1,14,17.13,3,5.22,81,3.93,570,563.06
"TAMIL NADU","TIRUVANNAMALAI",89,41.54,298,63.9,11,9.22,0,0,0,0,0,0,15,1.27,413,115.93
"TAMIL NADU","TUTICORIN DISTRICT",50,144.72,144,886.32,64,244.28,12,25.19,8,129.68,1,0.45,64,3.7,343,1434.34
"TAMIL NADU","VELLORE",1176,1543.29,3217,3846.53,594,665.2,140,182.84,0,0,0,0,412,9.37,5539,6247.23
"TAMIL NADU","VILLUPPURAM",4650,6859.32,4486,7336.8,1385,3054.66,36,29.33,10,36.29,2,5.52,4,4.53,10573,17326.45
"TAMIL NADU","VIRUDHUNAGAR",72,103.3,185,243.37,18,31.24,1,0.7,1,2.87,0,0,51,0,328,381.48
"TRIPURA","DHALAI",0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,4
"TRIPURA","NORTH TRIPURA",0,0,0,0,8,116.69,0,0,0,0,0,0,0,0,8,116.69
"TRIPURA","SOUTH TRIPURA",0,0,0,0,27,797.65,0,0,0,0,0,0,0,0,27,797.65
"TRIPURA","WEST TRIPURA",0,0,1,4,121,3272.52,0,0,0,0,0,0,8,0,130,3276.52
"UTTAR PRADESH","AGRA",255,16372.21,279,5425.26,144,17760,183,3969.03,0,0,4,112.58,44,663.27,909,44302.35
"UTTAR PRADESH","ALIGARH",449,15529.08,93,948.95,50,1717.96,1,6,0,0,46,1307.04,43,131.78,682,19640.81
"UTTAR PRADESH","ALLAHABAD",835,24810.05,500,4094.98,172,5448.17,31,391.6,0,0,11,313.9,41,236.32,1590,35295.02
"UTTAR PRADESH","AMBEDAKAR NAGAR",310,19058.92,60,163.6,80,3613.4,17,49.17,0,0,8,180,14,0,489,23065.09
"UTTAR PRADESH","AURAIYA",194,6186.69,225,1158.28,15,12569.64,71,1664.43,0,0,0,0,0,0,505,21579.04
"UTTAR PRADESH","AZAMGARH",124,2873.38,45,184.96,183,5884,5,30.34,0,0,10,264.06,18,0,385,9236.74
"UTTAR PRADESH","BAGHPAT",232,10924.09,285,17841.28,0,0,0,0,0,0,0,0,3,0,520,28765.37
"UTTAR PRADESH","BAHARAICH",132,11049.73,70,718.24,258,1568.39,46,423.17,0,0,4,13,9,67.32,519,13839.85
"UTTAR PRADESH","BALLIA",480,11502.83,454,11233.13,156,4500.16,0,0,1,10.08,44,1041.88,79,425.52,1214,28713.6
"UTTAR PRADESH","BALRAMPUR",112,4128.8,224,2827.52,40,2124.32,11,24.22,0,0,2,68,13,123,402,9295.86
"UTTAR PRADESH","BANDA",446,24524.16,416,1773.97,195,10088.64,220,900.64,0,0,20,125.2,123,0,1420,37412.61
"UTTAR PRADESH","BARABANKI",109,4174.8,83,285.81,69,3604,6,7.69,0,0,9,314,4,0,280,8386.3
"UTTAR PRADESH","BAREILLY",144,1914.78,43,129.88,497,15306.77,1,1.22,5,21.6,9,209.78,82,0,781,17584.03
"UTTAR PRADESH","BASTI",434,20108.16,94,300.2,45,1966.6,195,402.06,0,0,1,0,9,74.44,778,22851.46
"UTTAR PRADESH","BIJNOR",656,25073.74,107,311.49,3,118.6,33,131,0,0,0,0,1,0,800,25634.83
"UTTAR PRADESH","BUDAUN",593,14083.44,41,139.52,208,5655.15,2,3.24,0,0,15,244.25,75,249.14,934,20374.74
"UTTAR PRADESH","BULAND SAHAR",257,15345.28,32,180.9,34,931.08,0,0,0,0,7,49,15,208.24,345,16714.5
"UTTAR PRADESH","CHANDAULI",177,14401.45,28,555.64,24,1031.8,58,242.05,0,0,0,0,4,0,291,16230.94
"UTTAR PRADESH","CHITRAKOOT",0,0,0,0,2,231,191,6870.28,0,0,0,0,1,42.99,194,7144.27
"UTTAR PRADESH","DEORIA",628,20368.28,66,1569.12,170,6446.4,79,1208.21,0,0,0,0,100,723.12,1043,30315.13
"UTTAR PRADESH","ETAH",640,27733.8,105,1901.96,0,0,0,0,0,0,4,650,2,200,751,30485.76
"UTTAR PRADESH","ETAWAH",108,2123.8,249,1600.8,207,16386.4,22,301,0,0,0,0,0,0,586,20412
"UTTAR PRADESH","FAIZABAD",419,26073.4,246,1018.24,108,4896.6,13,28.9,0,0,13,270,20,1,819,32288.14
"UTTAR PRADESH","FARRUKHABAD",153,7610.84,140,825.31,122,5973.19,0,0,0,0,10,545.06,16,0,441,14954.4
"UTTAR PRADESH","FATEHPUR",426,13609.88,671,6259.14,87,6374.38,196,2122.54,0,0,9,379,149,839.62,1538,29584.56
"UTTAR PRADESH","FIROZABAD",203,14780.84,271,3646.1,17,1408,22,820.88,5,117.14,2,197.84,27,193.75,547,21164.55
