"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL / ANIMAL","OTHERS","TOTAL"
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",440,110,1,0,0,2,553
"DELHI","ALIPUR",1,0,0,0,0,0,1
"DELHI","NANGLOI",1,0,0,0,0,0,1
"GOA","NORTH GOA",1682,68,2,1,901,281,2935
"GOA","SOUTH GOA",935,48,1,0,253,99,1336
"GUJARAT","AHMEDABAD",1377,7045,10,1,3123,753,12309
"GUJARAT","AMRELI",31151,37076,55,11,146,157,68596
"GUJARAT","ANAND",1033,294,1,0,0,433,1761
"GUJARAT","BANASKANTHA",12103,3504,1,2,1601,2,17213
"GUJARAT","BHARUCH",1405,629,0,2,1,0,2037
"GUJARAT","BHAVNAGAR",45018,38802,20,8,0,244,84092
"GUJARAT","DAHOD",29,32643,0,8,3349,3,36032
"GUJARAT","DANG",0,1513,1,2,0,0,1516
"GUJARAT","GANDHINAGAR",1819,33,0,0,0,0,1852
"GUJARAT","JAMNAGAR",74006,23271,16,10,0,78,97381
"GUJARAT","JUNAGADH",107102,30510,11,9,0,48,137680
"GUJARAT","KACHCHH",4350,3983,4,2,13,642,8994
"GUJARAT","KHEDA",9638,8421,1,3,6,21,18090
"GUJARAT","MEHSANA",2307,1472,6,1,1,121,3908
"GUJARAT","NARMADA",330,3449,0,0,0,0,3779
"GUJARAT","NAVSARI",7808,5360,6,1,286,312,13773
"GUJARAT","PANCHMAHAL",10565,29885,46,14,1,9,40520
"GUJARAT","PATAN",3,0,0,0,0,0,3
"GUJARAT","PORBANDAR",23594,2995,1,4,56,0,26650
"GUJARAT","RAJKOT",57210,85129,59,79,2,258,142737
"GUJARAT","SABARKANTHA",56008,15697,8,7,0,14,71734
"GUJARAT","SURAT",31734,590,1,3,9,3,32340
"GUJARAT","SURENDRANAGAR",7445,25326,5,1,0,1486,34263
"GUJARAT","VADODARA",5391,13450,1,2,0,2085,20929
"GUJARAT","VALSAD",6626,4613,2,0,37,13,11291
"HARYANA","BHIWANI",275,163,0,0,0,0,438
"HARYANA","GURGAON",2,308,0,0,0,0,310
"HARYANA","JHAJJAR",39,330,0,0,0,0,369
"HARYANA","KARNAL",0,379,0,0,0,0,379
"HARYANA","MAHENDRAGARH",42,1,0,0,0,0,43
"HARYANA","MEWAT",1,541,0,0,0,0,542
"HARYANA","REWARI",36,168,0,0,0,0,204
"HIMACHAL PRADESH","Bilaspur",85,12,0,0,0,0,97
"HIMACHAL PRADESH","Hamirpur",136,7,0,0,3,5,151
"HIMACHAL PRADESH","Kangra",109,9,0,0,7,12,137
"HIMACHAL PRADESH","Kullu",0,0,0,0,0,1,1
"HIMACHAL PRADESH","Mandi",6,1,0,0,0,0,7
"HIMACHAL PRADESH","Sirmaur",392,17,0,0,0,9,418
"HIMACHAL PRADESH","Solan",383,16,0,0,57,2,458
"HIMACHAL PRADESH","Una",36,2,0,0,0,3,41
"JAMMU & KASHMIR","DODA",0,0,0,0,2,0,2
"JAMMU & KASHMIR","JAMMU",167,3,0,0,0,0,170
"JAMMU & KASHMIR","KATHUA",921,0,2,0,0,8,931
"JAMMU & KASHMIR","RAJOURI",12,1,0,0,0,0,13
"JAMMU & KASHMIR","SRINAGAR",5,0,0,0,20,0,25
"JAMMU & KASHMIR","UDHAMPUR",23,0,0,0,0,2,25
"JHARKHAND","BOKARO",9,1286,3,0,3678,27,5003
"JHARKHAND","CHATRA",2,12898,27,13,193,33,13166
"JHARKHAND","DEOGHAR",26,5178,2,0,38,420,5664
