0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
West Bengal,13,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
West Bengal,14,Purulia,,,,,,,,,,,,,,,,,,,,55,379,18153,6,18593,,,,,,,,,,,,
West Bengal,15,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
West Bengal,16,West Dinajpur,,,,,,,,,,,,,,,,,,,,,7,1387,,1394,,,,,,,,,,,,
West Bengal,,TOTAL,,,,,,,,,,,,,,,,,,,,93,10857,49986,2452,63388,,,,,,,,,,,,
West Bengal,,check,,,,,,,,,,,,,,,,,,,,93,10857,49986,2452,63388,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,1,Chandigarh,,,,,,,,,,,,,,,,,,,,,,28,,28,,,,,,,,,,,,
Chandigarh,,TOTAL,,,,,,,,,,,,,,,,,,,,,,28,,28,,,,,,,,,,,,
Chandigarh,,check,,,,,,,,,,,,,,,,,,,,0,0,28,0,28,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra Nagar Haveli,1,Dadra Nagar Haveli,,,,,,,,,,,,,,,,,,,,179,16,10,1,206,,,,,,,,,,,,
Dadra Nagar Haveli,,TOTAL,,,,,,,,,,,,,,,,,,,,179,16,10,1,206,,,,,,,,,,,,
Dadra Nagar Haveli,,check,,,,,,,,,,,,,,,,,,,,179,16,10,1,206,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,1,Daman,,,,,,,,,,,,,,,,,,,,276,38,12,37,363,,,,,,,,,,,,
Daman and Diu,2,Diu,,,,,,,,,,,,,,,,,,,,271,169,59,19,518,,,,,,,,,,,,
Daman and Diu,,TOTAL,,,,,,,,,,,,,,,,,,,,547,207,71,56,881,,,,,,,,,,,,
Daman and Diu,,check,,,,,,,,,,,,,,,,,,,,547,207,71,56,881,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pondicherry,1,Pondicherry,,,,,,,,,,,,,,,,,,,,5211,25,,,5236,,,,,,,,,,,,
Pondicherry,,TOTAL,,,,,,,,,,,,,,,,,,,,5211,25,,,5236,,,,,,,,,,,,
Pondicherry,,check,,,,,,,,,,,,,,,,,,,,5211,25,0,0,5236,,,,,,,,,,,,
