0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Uttar Pradesh,46,Pithoragarh,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,47,Pratapgarh,,,,,,,,3641,20284,,6,23931,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,48,Rai Bareli,,,,,,,,6289,14192,2,31,20514,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,49,Rampur,,,,,,,,2682,24385,,2629,29696,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,50,Saharanpur,,,,,,,,16413,50376,,91,66880,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,51,Shajahanpur,,,,,,,,2901,38413,,1321,42635,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,52,Sitapur,,,,,,,,893,30920,1,3444,35258,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,53,Sultanpur,,,,,,,,5530,18318,,4,23852,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,54,Tehri Garhwal,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,55,Unnao,,,,,,,,1718,21701,,,23419,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,56,Uttarkashi,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,57,Varanasi,,,,,,,,14253,8719,,61,23033,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,TOTAL,,,,,,,,363717,1230670,380,24745,1619512,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,check,,,,,,,,363717,1230670,380,24745,1619512,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,1,Bankura,,,,,,,,898,11786,174,144,13002,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2,Birbhum,,,,,,,,2272,12384,3,2,14661,,,,,,,,,,,,,,,,,,,,,,,
