"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLER - NUMBER","SPRINKLER - POTENTIAL UTILISED","OTHERS - NUMBER","OTHERS - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"KARNATAKA","Tumkur",1805,1900.36,1156,1183.39,917,1187.86,62,62.56,28,42.24,15,16.89,5200,51.97,9183,4445.27
"KARNATAKA","Udupi",6871,5020.46,4491,3536.8,6817,5924.94,6677,4474.92,720,853.34,1583,2016.62,568,357.42,27727,22184.5
"KARNATAKA","Uttara Kannada",1519,838.3,4096,1351.23,7118,3444.44,5800,2660.52,946,759.8,612,519.16,549,72.02,20640,9645.47
"KERALA","ALAPPUZHA",5,0.67,891,347.35,0,0,2873,1259.79,54,26.59,1,0.25,836,284.8,4660,1919.45
"KERALA","ERANAKULAM",1201,927.86,12394,6014.99,193,155.61,4686,2043.14,14,12.04,61,44.62,297,52.16,18846,9250.42
"KERALA","IDDUKKI",184,439.2,599,698.85,26,25.66,2603,2803.67,120,130.98,312,292.58,1513,1950.75,5357,6341.69
"KERALA","KANNUR",454,198.14,1051,416.86,1722,3176.55,14419,11279.34,296,1672.39,543,843.1,529,366.68,19014,17953.06
"KERALA","KASARAGODE",953,1761.49,1463,2084.16,1276,1775,2074,2548.69,359,371.34,1145,1383.5,743,643.84,8013,10568.02
"KERALA","KOLLAM",150,27.28,1295,356.19,2433,523.38,2136,1793.33,15,28.17,17,8.69,1563,274.68,7609,3011.72
"KERALA","KOTTAYAM",159,126.89,1158,428.02,203,103.68,3907,2584.65,20,9.54,7,6.73,639,127.67,6093,3387.18
"KERALA","KOZHIKODE",285,113.89,865,367.97,480,266.7,6605,2876.63,14,9.01,2,1.66,743,274.32,8994,3910.18
"KERALA","MALAPPURAM",2951,1515.24,7483,4516.97,306,209.07,2660,1224.14,15,8.52,28,37.94,67,22.54,13510,7534.42
"KERALA","PALAKKAD",1958,3223.71,6288,9129.8,247,672.39,990,1796,20,12.51,19,34.1,170,90.36,9692,14958.87
"KERALA","PATHANAMTHITTA",176,76.55,1051,391.68,1620,521.82,1980,584.82,118,37.18,77,19.04,2491,519.52,7513,2150.61
"KERALA","THIRUVANANTHAPURAM",261,66.61,265,111.55,1659,607.67,3166,1726.98,15,6.26,11,6.13,1184,273.29,6561,2798.49
"KERALA","THRISSUR",4475,1632.63,28257,10962.54,1737,759.89,11515,3739.42,20,9.84,45,16.99,72,9.84,46121,17131.15
"KERALA","WAYANAD",13,79.61,262,453.9,10,9.25,391,380.42,0,0,31,42.9,136,180.89,843,1146.97
"MADHYA PRADESH","ANUPPUR",411,18.53,1633,964.35,106,129.02,556,563.76,7,6.77,7,8.33,131,8.37,2851,1699.13
"MADHYA PRADESH","Ashok Nagar",81,230.19,4016,14883.94,56,300.91,3472,14775.23,9,131.7,1,6.81,36,83.41,7671,30412.19
"MADHYA PRADESH","BALAGHAT",211,590.39,7524,21362.74,589,1820.79,1999,4879.23,10,15.32,2,2.14,84,92.22,10419,28762.83
"MADHYA PRADESH","BARWANI",173,265.32,17265,23361.07,3474,5619.58,2028,3315.76,0,0,43,111.18,0,0,22983,32672.91
"MADHYA PRADESH","BETUL",3280,12162.76,33873,70557.69,1868,3395.6,15035,34572.8,285,320.38,400,911.97,2598,79.03,57339,122000.23
"MADHYA PRADESH","BHIND",70,263.05,687,3333.76,51,218.66,5453,25314.25,1,2.5,3,17,3186,387.99,9451,29537.21
"MADHYA PRADESH","BHOPAL",44,102.29,219,614.1,992,2825.73,9483,26770.97,1,4.3,0,0,4,11.62,10743,30329.01
"MADHYA PRADESH","BURHANPUR",733,1371.89,14652,37573.33,824,2029.81,299,879.2,616,1520.27,2,8,0,0,17126,43382.5
"MADHYA PRADESH","CHHATARPUR",321,2058.66,8807,50181.29,133,815.56,2896,18658.07,17,118.5,0,0,0,0,12174,71832.08
"MADHYA PRADESH","CHHINDWARA",1587,2426.88,36392,55084.45,11566,19281.65,24229,40976.07,86,126.75,137,262.01,6002,67.72,79999,118225.53
"MADHYA PRADESH","DAMOH",510,852.09,590,1122.21,541,1256.25,13913,29987.59,11,20.02,862,2440.56,0,0,16427,35678.72
"MADHYA PRADESH","DATIA",1572,9518.76,4840,19396.39,245,1121.8,13957,43027.02,21,131.12,0,0,2429,0,23064,73195.09
"MADHYA PRADESH","DEWAS",1521,2080.53,4173,8371.69,5202,11445.43,20889,46867.73,93,136.35,7,14.99,2020,9.28,33905,68926
"MADHYA PRADESH","DHAR",1628,5083.5,31168,78512.77,6503,16819.81,7914,41679.49,114,547.01,16,39.03,2827,63.07,50170,142744.68
"MADHYA PRADESH","DINDORI",13,1,196,31.34,2,0,19,72,0,0,5,0,92,0,327,104.34
"MADHYA PRADESH","GUNA",324,915.49,19456,71301.31,1678,5038.94,5385,19255.78,14,51.41,29,74.56,61,154.39,26947,96791.88
"MADHYA PRADESH","GWALIOR",898,798.44,3021,5897.37,23,34.93,2470,7738.41,4,12.28,0,0,1437,2232.8,7853,16714.23
"MADHYA PRADESH","HARDA",127,325.42,5226,15228.76,809,2050.37,5889,17339.5,40,101.45,556,712.38,902,408.43,13549,36166.31
"MADHYA PRADESH","HOSHANGABAD",2821,6116.09,10200,22626.91,638,1522.66,7843,20962.71,15,31.17,341,869.6,45,90.85,21903,52219.99
"MADHYA PRADESH","INDORE",0,0,12,35.85,10,25.51,3,8.02,0,0,0,0,2,5.7,27,75.08
"MADHYA PRADESH","JABALPUR",145,289.31,269,655,137,174.03,2783,6986.93,4,6.88,6487,22562.92,2,4.66,9827,30679.73
"MADHYA PRADESH","JHABUA",522,523.48,5999,16330.65,2886,4952.45,12364,17180.87,47,96.89,15,43.07,70,48.39,21903,39175.8
"MADHYA PRADESH","KATNI",204,402.24,4323,8586.76,994,2589.94,6331,14566.18,11,35.35,6,11.8,163,105.69,12032,26297.96
"MADHYA PRADESH","KHANDWA",1266,2579.47,39821,94898.85,2278,6869.55,834,2325.4,40,151.5,7,34.12,2,4,44248,106862.89
"MADHYA PRADESH","KHARGONE",742,1586.63,53912,123809.43,7744,17796.38,1006,2394.05,69,244,49,142.13,58,4,63580,145976.62
"MADHYA PRADESH","MANDLA",138,173.8,1143,3950.82,178,322.09,760,1657.2,23,25.7,2,4.01,29,28.6,2273,6162.22
"MADHYA PRADESH","MANDSAUR",2539,3604.18,73624,123422.87,5440,10003.56,14744,26491.31,19,34.67,49,93.62,2165,1926.63,98580,165576.84
"MADHYA PRADESH","MORENA",1357,3864.89,5173,16997.19,300,799.46,13560,77244.62,125,607.25,2,2,445,569.32,20962,100084.73
"MADHYA PRADESH","NARSINGHPUR",180,430.61,705,1818.85,596,1554.18,4515,11936.85,257,785.55,17649,49615.67,153,6.08,24055,66147.79
"MADHYA PRADESH","NEEMUCH",1153,2106.64,31559,60070.04,6342,12371.68,9003,15132.8,7,9.6,58,151.88,3,4,48125,89846.64
"MADHYA PRADESH","PANNA",255,314.31,339,501.02,223,882.28,5783,11534.44,6,4.7,0,0,35,201.3,6641,13438.05
"MADHYA PRADESH","RAISEN",906,4996.8,42,105.18,83,218.49,7251,27589.67,21,54.46,1851,6750.18,10,23.16,10164,39737.94
"MADHYA PRADESH","RAJGARH",440,798.26,4549,5688.88,7924,20416.26,56597,121178.02,70,258.95,4,6.12,1330,18.36,70914,148364.85
"MADHYA PRADESH","RATLAM",2858,5398.42,13637,33609.09,4205,8876.78,25545,54992.12,23,40.91,2,1.3,601,18.88,46871,102937.5
"MADHYA PRADESH","REWA",841,2076.41,3463,8422.66,863,2350.19,7159,14616.97,10,21.56,2,3,92,2.86,12430,27493.65
"MADHYA PRADESH","SAGAR",80,178.94,2832,4879.2,2567,6030.72,53865,119776.28,69,126.52,923,4184.88,7,12.11,60343,135188.65
"MADHYA PRADESH","SATNA",397,791.65,4572,9298.37,1239,2542.32,10734,22216.25,27,17.57,34,141.73,777,24.9,17780,35032.79
"MADHYA PRADESH","SEHORE",2011,8730.56,366,1707.71,3015,12264.73,22244,101585.71,177,489.49,9,45,1369,1220.24,29191,126043.44
"MADHYA PRADESH","SEONI",519,553.32,4815,8360.06,1091,2581.32,8721,19124.99,66,117.07,1036,4171.55,1862,42.42,18110,34950.73
"MADHYA PRADESH","SHAHDOL",45,84.37,1020,1789.08,120,329.99,912,1420.21,0,0,1,8.98,4,3.12,2102,3635.75
"MADHYA PRADESH","SHAJAPUR",1822,1225.44,5825,5883.71,11530,23484.06,32487,37063.4,63,110.51,136,338.06,58,13.66,51921,68118.84
"MADHYA PRADESH","SHEOPUR",4,3.7,255,845.26,3,7.59,2125,6477.87,0,0,0,0,10,3,2397,7337.42
"MADHYA PRADESH","SHIVPURI",3027,5282.74,36523,69130.84,1024,2326.05,5682,14833.25,14,33.49,6,15.3,11,9.97,46287,91631.64
"MADHYA PRADESH","SIDHI",738,1532.08,7617,13387.29,753,1369.8,9274,15492.63,17,43.94,1,0.05,23,15.26,18423,31841.05
"MADHYA PRADESH","TIKAMGARH",1971,5636.91,33904,92301.04,980,2178.05,7500,19088.67,112,369.51,187,556.77,11,8.63,44665,120139.58
"MADHYA PRADESH","UJJAIN",293,280.7,212,131.62,24853,12666.51,13355,10151.7,6144,2777.33,0,0,4,0,44861,26007.86
"MADHYA PRADESH","UMARIA",221,238.58,1198,1820.05,85,139.07,1040,1593.03,2,4,1,1.3,16,0,2563,3796.03
"MADHYA PRADESH","VIDISHA",15,30.27,177,342.41,250,868.34,19736,66659.17,12,29.41,0,0,88,0,20278,67929.6
"MAHARASHTRA","AHMEDNAGAR",11213,31817.52,57329,97157.41,66643,151819.5,14400,21860.8,953,2984.62,30,39.32,26040,48224.87,176608,353904.04
"MAHARASHTRA","AKOLA",307,426.15,5209,11282.2,13217,26383.46,1706,3611.02,126,365.57,410,1375.18,481,53.57,21456,43497.15
"MAHARASHTRA","AMRAVATI",386,710.59,41046,75683.08,16667,30032.3,19266,34006.22,622,1308.42,1571,4102.22,1493,175.68,81051,146018.51
"MAHARASHTRA","AURANGABAD",3741,9094.34,25640,59317.52,60862,161906.08,8516,18352.01,1182,4269.94,40,86.69,1204,4019.94,101185,257046.52
"MAHARASHTRA","BEED",930,4457.09,7159,20766.96,29627,88678.88,4211,13845.86,27,108.95,15,61.3,182,879.5,42151,128798.54
"MAHARASHTRA","BHANDARA",527,607.23,8196,11486.16,437,612.37,8725,10794.37,1,1.09,3,2.5,77,55.06,17966,23558.78
"MAHARASHTRA","BULDANA",338,636.23,8254,9376.47,5023,5417.07,47321,70191.75,757,1256.6,1112,2240.34,9588,10.7,72393,89129.16
"MAHARASHTRA","CHANDRAPUR",175,229.53,7949,13374.08,493,778.39,11801,18766.36,12,39.02,421,801.01,71,69.74,20922,34058.13
"MAHARASHTRA","DHULE",1516,2815.15,27375,51854.11,15891,34562.57,9477,20631.51,244,467.48,21,41.92,4815,1050.2,59339,111422.94
"MAHARASHTRA","GADCHIROLI",580,938.43,4873,6226.99,1189,610.08,6072,7032.22,5,6.86,4,8.6,401,367.52,13124,15190.7
"MAHARASHTRA","GONDIYA",483,517.77,4269,5261.04,449,369.8,3658,3895.43,10,2.89,20,36.39,591,674.16,9480,10757.48
"MAHARASHTRA","HINGOLI",388,1181.55,8088,22378.78,16223,39335.3,4314,12943,2,8,20,48.3,14,28.69,29049,75923.62
"MAHARASHTRA","JALGAON",1562,2845.06,32542,55431.86,51436,100291.87,19909,36753.22,14585,28159.13,288,663.03,1899,1186.27,122221,225330.44
"MAHARASHTRA","JALNA",1894,2609.19,6166,14607.01,58452,177794.85,1172,2210.68,102,196.48,335,76.27,3089,2333.75,71210,199828.23
"MAHARASHTRA","KOLHAPUR",1120,1340.16,18597,34027.9,17049,25216.69,5157,7507.02,65,97.79,30,36.53,1392,97.49,43410,68323.58
"MAHARASHTRA","LATUR",9684,18736.14,1786,2804.05,24393,56675.46,1966,5105.67,92,237.79,149,314.4,183,388.8,38253,84262.31
"MAHARASHTRA","NAGPUR",5206,4230.42,40757,48993.44,4847,6579.48,18041,29953.69,191,428.68,134,308.02,519,1037.03,69695,91530.76
"MAHARASHTRA","NANDED",822,2188.59,8977,20087.15,18754,46175.57,3021,8266.89,34,94.5,529,2160.55,10,20.77,32147,78994.02
"MAHARASHTRA","NANDURBAR",755,1230.72,11047,27077.32,1714,4680.44,2219,5789.63,61,95.18,43,58.6,1100,2359.86,16939,41291.75
"MAHARASHTRA","NASHIK",8869,14223.78,89125,163546.28,31790,59381.3,6435,10479.1,1028,1675,79,125.87,41467,59352.53,178793,308783.86
"MAHARASHTRA","OSMANABAD",1410,3959.58,20461,50856.09,23314,68018.03,1986,5798.75,171,351.84,350,691.72,290,166.18,47982,129842.19
"MAHARASHTRA","PARBHANI",434,982.79,9562,15906.64,16697,49464.12,4551,10573.13,6,17.6,1,1.6,73,6.8,31324,76952.68
"MAHARASHTRA","PUNE",2521,3946.08,38407,48654.06,85396,332981.79,2999,9027.07,3,3.63,46,14.1,373,238.63,129745,394865.36
"MAHARASHTRA","RAIGHAR",312,246.06,765,613.21,1892,3371.65,437,316.09,61,38.5,2,2.7,1137,689.51,4606,5277.72
"MAHARASHTRA","RATNAGIRI",523,157.82,1452,654.06,375,333.24,446,358.91,62,55.76,7,5.93,535,514.4,3400,2080.12
"MAHARASHTRA","SANGLI",1214,1923.8,37898,70600.09,39314,85637.66,5295,16306.93,4485,10599.61,12,23.79,589,125.51,88807,185217.39
"MAHARASHTRA","SATARA",5316,7718.56,23013,38207.93,39707,69859.33,635,1264.1,377,236.1,116,259.83,66,36.14,69230,117581.99
"MAHARASHTRA","SINDHUDURGA",421,299.04,3252,2899.62,921,1113.97,2350,2292.27,30,60.39,14,21.21,451,505.48,7439,7191.98
"MAHARASHTRA","SOLAPUR",6553,10898.92,52581,123718.56,59653,138193.32,7322,16266.02,3668,8887.16,19,44.59,3046,513.86,132842,298522.43
"MAHARASHTRA","THANE",261,524.22,2826,3836.47,2609,4328.59,1309,1864.22,226,533.11,14,34.45,1046,661.78,8291,11782.84
"MAHARASHTRA","WARDHA",1794,3170.57,32191,43659.36,1215,1338.52,9809,8753.63,446,562.35,1710,3613.15,129,7.6,47294,61105.18
"MAHARASHTRA","WASHIM",2264,3920.02,9295,13269.55,3456,8130.13,10526,14465.31,81,138.39,159,237.02,264,5.2,26045,40165.62
"MAHARASHTRA","YAVATMAL",1474,3438.1,20889,38541.39,6574,12764.36,7731,13409.88,121,340.7,4138,9613.45,18,21.4,40945,78129.28
"MEGHALAYA","JAINTIA HILLS",0,0,4,3.3,0,0,2,2,0,0,0,0,2,0.75,8,6.05
"MEGHALAYA","WEST GARO HILLS",0,0,0,0,1,2.7,1,0.6,0,0,0,0,0,0,2,3.3
"MEGHALAYA","WEST KHASI HILLS",0,0,3,2.7,0,0,0,0,0,0,0,0,0,0,3,2.7
"NAGALAND","DIMAPUR",26,59,41,93.3,2,3,1,3,0,0,0,0,29,0,99,158.3
"ODISHA","ANGUL",72,17.78,26087,4157.01,15,2.02,1301,383.29,5,1.47,22,2.31,4145,273.82,31647,4837.7
"ODISHA","BALASORE",4,3.8,788,489.63,1,0,141,852.87,0,0,0,0,1708,6.96,2642,1353.26
"ODISHA","BARGARH",49,40.98,17104,8077.81,29,32.29,277,265.54,1,3.55,1,0.36,6149,356.79,23610,8777.32
"ODISHA","BHADRAK",0,0,47,44.79,0,0,6,4.87,0,0,0,0,201,3.4,254,53.06
"ODISHA","BOLANGIR",680,211.88,46070,15841.74,19,5.27,75,34.37,1,1.21,1,0.08,12426,5.55,59272,16100.1
"ODISHA","BOUDH",25,4.76,11253,2183.07,1,0.3,16,2.85,0,0,1,0.44,1579,0.86,12875,2192.28
"ODISHA","CUTTACK",117,54.32,11887,2323.37,25,6.77,380,122.06,1,3.15,0,0,3181,4.78,15591,2514.45
"ODISHA","DEOGARH",17,2.62,6354,799.27,0,0,60,11.76,3,0.73,0,0,1055,4.25,7489,818.63
"ODISHA","DHENKANAL",38,8.59,5294,1475.55,21,54.85,1371,556.5,16,5.15,8,0.84,5620,188.14,12368,2289.62
"ODISHA","GAJAPATI",7,2.54,1196,333.33,2,5.06,5,1.7,37,8.55,0,0,3150,4,4397,355.18
"ODISHA","GANJAM",998,390.03,23656,8194.85,72,32.73,433,219.5,19,5.85,3,0.88,7415,13.43,32596,8857.27
"ODISHA","JAGATSINGHPUR",1,0.82,232,77.74,0,0,116,53,0,0,1,0.12,606,0.46,956,132.14
"ODISHA","JAJAPUR",53,28.93,1445,521.15,21,31.29,488,291.53,0,0,0,0,1211,3.35,3218,876.25
"ODISHA","JHARSUGUDA",55,14.85,4537,1287.4,6,1.36,164,41.62,46,6.27,1,0.06,1997,3.45,6806,1355.01
"ODISHA","KALAHANDI",152,103.29,16298,3744.48,2,1.5,26,26.14,0,0,0,0,5085,3.56,21563,3878.97
"ODISHA","KANDHAMAL",107,31.6,5275,1014.88,6,2.07,60,15.2,1,0.08,0,0,3935,5.59,9384,1069.42
"ODISHA","KENDRAPARA",1,1.1,107,54.48,0,0,44,22.12,0,0,0,0,217,0.1,369,77.8
"ODISHA","KEONJHAR",21,2.66,13389,2365.67,7,0.38,296,73.1,3,3.5,160,59.78,9823,801.97,23699,3307.06
"ODISHA","KHURDA",25,9.68,8739,1560.55,8,1.62,19,15.86,9,1.08,0,0,6110,26.19,14910,1614.98
"ODISHA","KORAPUT",39,13.69,2171,734.12,4,8.35,35,32.33,0,0,3,2.95,3124,70.82,5376,862.26
"ODISHA","MALKANAGIRI",6,1.64,454,95.48,13,2.54,91,21.12,0,0,0,0,1632,58.44,2196,179.22
"ODISHA","MAYURBHANJA",101,55.98,3255,858.81,15,3.94,595,636.19,3,0.5,1,0.04,9470,486.27,13440,2041.73
"ODISHA","NAWARANGAPUR",58,10.96,9055,2535.94,9,1.37,337,143.81,2,0.32,3,0.64,2106,7.77,11570,2700.81
"ODISHA","NAYAGARH",51,32.19,10421,2934.95,13,8.65,390,228.41,4,1.65,3,0.26,5585,33.69,16467,3239.8
"ODISHA","NUAPADA",30,7.84,10624,1764.67,2,0.26,3,0.3,0,0,1,4,3879,6.71,14539,1783.78
"ODISHA","PURI",7,6.39,305,162.98,2,5.11,5,1.4,0,0,0,0,335,6.14,654,182.02
"ODISHA","RAYAGADA",7,11.26,984,410,11,8.25,29,24.99,4,2.08,2,0.4,1315,30.25,2352,487.23
"ODISHA","SAMBALPUR",297,132.04,13819,3364.07,88,30.1,163,48.42,1,0,3,1.02,3530,47.9,17901,3623.55
"ODISHA","SONEPUR",166,106.44,10845,3852.16,5,2.36,58,23.08,4,1.66,0,0,2315,177.74,13393,4163.44
"ODISHA","SUNDARGARH",1112,442.84,15482,4041.57,29,9.84,230,120.69,14,3.36,4,1.7,7164,7.59,24035,4627.59
"PUDUCHERRY","PUDUCHERRY",56,84.34,24,36.6,3,3.96,1,7.06,0,0,0,0,0,0,84,131.96
"RAJASTHAN","AJMER",3723,5897.28,19991,33509.94,2671,5603.48,8977,18415.76,168,765.25,1053,3654.74,39857,31.57,76440,67878.02
"RAJASTHAN","ALWAR",2013,7475.57,11212,41288.98,11608,45148.57,27313,119536.88,290,1501,16101,69088.96,13226,723.7,81763,284763.66
"RAJASTHAN","BANSWARA",886,1813.67,4296,8513.84,221,773.33,2844,5108.8,65,131.64,5,4.36,2317,1163.8,10634,17509.44
"RAJASTHAN","BARAN",554,1636.91,6127,16446.61,98,443.49,7581,16153.93,0,0,16,24.01,1661,138.41,16037,34843.36
"RAJASTHAN","BARMER",455,1981.32,1289,7144.78,245,1697.33,175,1075.25,192,861.21,16346,101668.15,2454,18.04,21156,114446.08
"RAJASTHAN","BHARATPUR",298,920.16,135,513.44,115,297.96,3892,19445.59,1,2.35,15,39.73,2666,14.25,7122,21233.48
"RAJASTHAN","BHILWARA",9349,18232.06,57324,93618.19,2710,6753.74,9992,24096.51,65,127.9,419,688.4,40436,350.12,120295,143866.92
"RAJASTHAN","BIKANER",1,1.52,1,3.15,0,0,0,0,0,0,948,10396.12,25,0,975,10400.79
"RAJASTHAN","BUNDI",1557,5053.57,12392,31767.96,76,460.98,5879,24413.23,81,206.68,79,238.7,4232,1053.37,24296,63194.49
"RAJASTHAN","CHITTORGARH",13306,28700.91,38045,73911.66,12933,26946.05,21993,51522.98,1209,1922.09,779,2095.36,9182,409.25,97447,185508.3
"RAJASTHAN","CHURU",2,1.96,64,192.45,1,1.01,5,19.46,16,71.56,4924,40895.29,1029,0,6041,41181.73
"RAJASTHAN","DAUSA",1888,6341.79,6327,17298.38,1488,5463.63,16462,58083.6,48,165,415,1634.67,7650,19.99,34278,89007.06
"RAJASTHAN","DHOLPUR",237,1063.93,915,3118.35,8,41.64,1788,6288.73,0,0,24,81.5,982,8.33,3954,10602.48
"RAJASTHAN","DUNGARPUR",1256,1955.45,9576,16123.62,898,2658.7,2735,5368.87,22,39.02,50,84.93,3485,0,18022,26230.59
"RAJASTHAN","GANGANAGAR",0,0,0,0,12,122.34,0,0,0,0,0,0,0,0,12,122.34
"RAJASTHAN","HANUMANGARH",21,102.89,3093,10318.9,17,115.98,44,252.45,0,0,13,110.57,94,325.34,3282,11226.13
"RAJASTHAN","JAIPUR",3487,14046.8,16143,37566.3,3897,13009.96,11051,39928.53,310,1111.47,37763,182057.57,37226,573.74,109877,288294.37
"RAJASTHAN","JAISALMER",31,106.85,27,23.09,0,0,0,0,12,85.65,44,472.6,1,0,115,688.19
"RAJASTHAN","JALORE",5256,21034.84,11706,57150.87,1117,5693.7,5230,22677.39,95,534.85,13471,83164.35,14489,75.11,51364,190331.11
"RAJASTHAN","JHALAWAR",5467,17533.44,45945,101236.83,2984,8895.73,11884,29472.73,27,61.23,102,179.82,4354,18.35,70763,157398.13
"RAJASTHAN","JHUNJHUNU",384,1395.33,2006,4209.71,22,69.42,1705,6982.87,297,1426.18,36184,236672.16,3366,2,43964,250757.67
"RAJASTHAN","JODHPUR",459,2071.15,1094,6121.6,62,326.24,342,1218.82,6,12.75,192,812.59,5370,0,7525,10563.15
"RAJASTHAN","KAROLI",645,2064.21,3216,10184.38,911,3353.76,13754,46177.51,8,24.74,54,180.79,9201,399.07,27789,62384.46
"RAJASTHAN","KOTA",3828,12429.94,1704,5818.49,169,507.24,3037,8641.23,2,9.42,17,40.73,2318,68.92,11075,27515.97
"RAJASTHAN","NAGAUR",680,3481.99,1372,9020.03,64,307.78,347,3437.64,126,603.84,17647,107539.69,10376,17.24,30612,124408.21
"RAJASTHAN","PALI",4118,16936.37,21888,72622.29,2194,8063.02,746,3141.25,4,13.58,112,369.19,18945,62.9,48007,101208.6
"RAJASTHAN","RAJSAMAND",3448,3425.6,28156,26527.9,1649,3563.81,3570,6191.75,24,42.57,482,761.5,16962,8.42,54291,40521.55
"RAJASTHAN","SAWAI MADHOPUR",452,1717.82,2943,11230.01,218,1023.65,24043,103201.05,7,22.82,33,86.82,4202,0,31898,117282.17
"RAJASTHAN","SIKAR",395,1374.02,2807,8850.16,272,1176.46,614,2265.73,269,1658.28,38401,210275.25,5967,29.24,48725,225629.14
"RAJASTHAN","SIROHI",3846,21241.23,9926,50490.95,475,3514.17,2251,12346.16,80,458.96,1242,7321.32,2205,64.33,20025,95437.12
"RAJASTHAN","TONK",2172,6281.74,13186,37683.36,561,1706.59,20219,55878.76,49,121.85,354,1355.5,15434,308.39,51975,103336.19
"RAJASTHAN","UDAIPUR",6396,11065.4,35429,53704.81,2363,4944.12,6098,12010.74,53,61.47,180,364.38,11152,242.05,61671,82392.97
"TAMIL NADU","COIMBATORE",28478,33782.26,42577,46790.06,3901,4011.57,1228,1716.31,8900,14706.47,22,12.76,18011,5395.46,103117,106414.89
"TAMIL NADU","CUDDALORE",5892,42545.37,1375,5833.66,496,3396.83,38,351.37,17,260.21,3,4.38,29,17.61,7850,52409.43
"TAMIL NADU","DHARMAPURI",37731,37870.57,36768,34109.24,3528,4579.73,796,497.59,39,51.81,10,8.54,1495,362.72,80367,77480.2
"TAMIL NADU","DINDIGUL",33076,39129.66,56326,71371.21,1621,2986.81,239,951.25,73,87.24,1,0,3719,1274.89,95055,115801.06
"TAMIL NADU","ERODE",39151,29039.02,68199,53492.86,7422,5924.37,476,489.46,352,308.83,40,33.05,6208,47.32,121848,89334.91
"TAMIL NADU","KANCHEEPURAM",5408,4769.94,49398,46443.71,840,854.94,18,19.7,5,5.26,2,6.04,57,0,55728,52099.59
"TAMIL NADU","KANYAKUMARI",362,269.26,635,321.39,164,113.63,373,1371.7,14,761.3,0,0,26,16.69,1574,2853.97
"TAMIL NADU","KARUR",6958,7253.68,20821,22639.49,1667,2606.59,5253,6180.81,11,41.08,0,0,6734,2231.11,41444,40952.76
"TAMIL NADU","KRISHNAGIRI",22631,25084.91,19877,51227.03,2119,2480.67,535,750.79,36,53.91,1,1,743,212.47,45942,79810.78
"TAMIL NADU","MADURAI",6954,6170.6,40311,31931.38,525,652.69,260,252.1,1,1,0,0,6494,4.86,54545,39012.63
"TAMIL NADU","NAGAPATTINAM",1125,259.37,2118,698.72,242,136.61,467,160.27,1,0.02,1,0,295,21.91,4249,1276.9
"TAMIL NADU","NAMAKKAL",10685,10285.62,7431,7975.79,1457,1610.86,45229,52986.67,20,21.53,7,5.98,1056,0,65885,72886.45
"TAMIL NADU","NILGIRIS",26,72.96,66,68.44,34,26.8,252,467.06,8,13.03,366,849.48,148,257.09,900,1754.86
"TAMIL NADU","PERAMBALUR",9670,6003.9,25918,13232.97,6683,2626.31,928,675.41,24,5.89,41,15,1988,65.31,45252,22624.79
"TAMIL NADU","PUDUKKOTTAI",8085,7818.61,21294,24264.9,930,398.59,13,58.33,12,3.67,1,0.7,1542,290.07,31877,32834.87
"TAMIL NADU","RAMANATHAPURAM",1654,14057.68,1816,8871.21,279,1170.9,47,198.37,5,24.9,2,1.72,605,7929.33,4408,32254.11
"TAMIL NADU","SALEM",45961,39926.9,50638,39337.38,3379,3177.48,48,44.31,53,85.17,0,0,3612,159.07,103691,82730.31
"TAMIL NADU","SIVAGANGA",3606,5108.42,12905,20807.73,731,1457.87,138,29.88,53,75.94,7,2.73,3252,115.56,20692,27598.13
"TAMIL NADU","THANJAVUR",628,1132.28,945,1281.7,34,86.32,4,3.9,2,6,0,0,218,9.35,1831,2519.55
"TAMIL NADU","THENI",8090,10545.43,15792,17768.86,1545,2669.07,6,4.53,43,116.45,0,0,299,1.53,25775,31105.87
"TAMIL NADU","THIRUVALLUR",4412,5491.42,4224,4931.96,3053,9274.14,24,33.04,33,47.41,0,0,503,486.84,12249,20264.81
"TAMIL NADU","THIRUVARUR",221,199.33,166,141.29,25,25.06,0,0,0,0,0,0,3,2.54,415,368.22
"TAMIL NADU","TIRUCHIRAPPALLI",37882,44260.37,25705,22066.14,1939,2022.74,104,117.2,10,20.28,1,1,7835,641.17,73476,69128.9
"TAMIL NADU","TIRUNELVELI",17170,24368.66,53643,60100.21,1684,1512.72,821,668.42,60,278.49,2,0.67,13834,1013.1,87214,87942.27
"TAMIL NADU","TIRUVANNAMALAI",48684,22931.6,112027,50883.63,4992,3031.91,71,56.72,35,13.55,21,3.64,4119,415.37,169949,77336.42
"TAMIL NADU","TUTICORIN DISTRICT",7914,13863.05,12167,30101.74,787,1632.76,34,46.59,221,418.42,28,35.29,4454,171.45,25605,46269.3
