"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLER - NUMBER","SPRINKLER - POTENTIAL UTILISED","OTHERS - NUMBER","OTHERS - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"BIHAR","BHOJPUR",9,5.4,1063,817.2,6,10.8,372,572.4,5,1.8,0,0,15,1.8,1470,1409.4
"BIHAR","BUXAR",19,27,229,376.2,0,0,1168,2102.4,5,7.2,0,0,0,0,1421,2512.8
"BIHAR","DARBHANGA",1,0,5,9,0,0,110,194.4,0,0,0,0,0,0,116,203.4
"BIHAR","EAST CHAMPARAN",59,95.4,107,169.2,4,5.4,372,667.8,3,1.8,0,0,1,0,546,939.6
"BIHAR","GAYA",343,477,3261,4188.6,51,54,1968,3475.8,77,97.2,1,1.8,52,93.6,5753,8388
"BIHAR","GOPAALGANJ",83,18,1098,172.8,16,18,205,320.4,2,1.8,8,3.6,976,151.2,2388,685.8
"BIHAR","JAMUI",265,415.8,3949,4872.6,38,68.4,364,428.4,182,266.4,2,0,1215,2003.4,6015,8055
"BIHAR","JEHANABAD",0,0,74,79.2,0,0,99,165.6,0,0,0,0,21,12.6,194,257.4
"BIHAR","KAIMUR (BHABUA)",110,129.6,1533,2217.6,147,201.6,3549,5506.2,88,133.2,5,1.8,666,873,6098,9063
"BIHAR","KATIHAR",1,1.8,86,153,0,0,2,3.6,0,0,0,0,4,5.4,93,163.8
"BIHAR","KHAGARIA",0,0,12,21.6,1,1.8,162,286.2,0,0,0,0,248,446.4,423,756
"BIHAR","KISHANGANJ",0,0,22,32.4,0,0,0,0,0,0,0,0,2,3.6,24,36
"BIHAR","LAKHISARAI",2,3.6,105,109.8,0,0,157,273.6,1,0,0,0,7,9,272,396
"BIHAR","MADHEPURA",0,0,116,93.6,0,0,12,18,0,0,0,0,6,9,134,120.6
"BIHAR","MADHUBANI",17,28.8,52,84.6,2,1.8,180,320.4,0,0,0,0,1,1.8,252,437.4
"BIHAR","MUNGER",130,205.2,829,1200.6,15,25.2,1011,1701,31,43.2,7,3.6,256,302.4,2279,3481.2
"BIHAR","MUZAFFARPUR",7,12.6,32,52.2,2,1.8,166,291.6,1,1.8,1,1.8,0,0,209,361.8
"BIHAR","NALANDA",798,1355.4,2727,4165.2,197,221.4,4791,8281.8,66,66.6,6,5.4,668,473.4,9253,14569.2
"BIHAR","NAWADA",45,64.8,1640,2415.6,57,84.6,302,466.2,9,3.6,16,9,106,136.8,2175,3180.6
"BIHAR","PATNA",132,108,1316,1728,93,118.8,1246,1530,5,3.6,4,1.8,389,428.4,3185,3918.6
"BIHAR","PURNIA",4,5.4,53,86.4,0,0,33,59.4,0,0,0,0,8,3.6,98,154.8
"BIHAR","ROHTAS(SASARAM)",13,12.6,691,777.6,30,25.2,313,334.8,12,0,0,0,162,133.2,1221,1283.4
"BIHAR","SAHARSA",0,0,16,27,0,0,29,50.4,0,0,0,0,20,36,65,113.4
"BIHAR","SAMASTIPUR",1,0,48,79.2,2,3.6,84,145.8,0,0,0,0,7,12.6,142,241.2
"BIHAR","SARAN",4,1.8,515,576,6,10.8,224,378,5,5.4,6,3.6,514,320.4,1274,1296
"BIHAR","SHEKHPURA",0,0,16,25.2,0,0,168,295.2,0,0,1,1.8,10,0,195,322.2
"BIHAR","SHEOHAR",5,9,153,257.4,0,0,73,124.2,0,0,0,0,30,7.2,261,397.8
"BIHAR","SITAMARHI",4,3.6,145,252,0,0,44,77.4,0,0,0,0,38,30.6,231,363.6
"BIHAR","SIWAN",81,55.8,897,406.8,8,9,435,712.8,5,7.2,21,0,511,212.4,1958,1404
"BIHAR","SUPAUL",0,0,6,10.8,0,0,29,52.2,0,0,0,0,0,0,35,63
"BIHAR","VAISHALI",5,0,65,91.8,26,43.2,887,1594.8,0,0,0,0,40,16.2,1023,1746
"BIHAR","WEST CHAMPARAN",0,0,35,59.4,0,0,23,37.8,1,0,0,0,1,1.8,60,99
"CHHATISGARH","BASTER",598,167.11,3105,3172.23,57,58.44,154,143.13,25,35.36,8,8.71,35,29.51,3982,3614.49
"CHHATISGARH","BIJAPUR",63,706,555,1862.98,30,260.04,11,148.34,9,57.21,4,46,14,28.38,686,3108.95
"CHHATISGARH","BILASPUR",6530,884.27,4620,3907.93,189,478.65,403,1441.25,19,45.79,3,5.46,67,120.19,11831,6883.54
"CHHATISGARH","DANTEWADA",162,2.4,27,19.35,0,0,3,3.48,0,0,0,0,10,3.87,202,29.1
"CHHATISGARH","DHAMTARI",280,348.63,5166,3836.82,10,17.05,221,541.28,2,1.05,87,37.54,574,451.36,6340,5233.73
"CHHATISGARH","DURG",1644,880.12,5451,5956.29,207,739.07,1393,4219.98,29,164.88,544,2333.82,642,206.78,9910,14500.94
"CHHATISGARH","JANJGIR-CHAMPA",2675,1016.47,11904,14121.66,59,26.84,367,435.33,26,128.44,6,1.4,50,64.43,15087,15794.57
"CHHATISGARH","JASHPUR",22186,367456.61,6277,5722.83,15,3.04,18,397.59,46,21.2,0,0,380,126.5,28922,373727.77
"CHHATISGARH","KANKER",315,378.96,6987,6442.75,28,57.33,207,392.6,3,0.2,4,7.72,180,66.07,7724,7345.63
"CHHATISGARH","KAWARDHA",797,1660.88,450,1650.08,35,208.39,186,633.95,4,22.16,500,1864.75,46,100.79,2018,6141
