"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"ASSAM","KAMRUP ( RURAL )",33,55,5723,9243,5,10.5,67,131.5,2,5,0,0,2967,3181.9,8797,12626.9
"ASSAM","KAMRUP METRO",0,0,422,766,0,0,0,0,1,3,0,0,239,673,662,1442
"ASSAM","KARBIANGLONG",0,0,20,65,0,0,0,0,0,0,0,0,17,55,37,120
"ASSAM","KARIMGANJ",0,0,46,154.5,0,0,0,0,0,0,0,0,3,0,49,154.5
"ASSAM","KOKRAJHAR",49,97.4,1479,2674.2,13,23,75,91,1,2,0,0,122,4,1739,2891.6
"ASSAM","LAKHIMPUR",3,9,1001,2919.72,0,0,0,0,0,0,0,0,624,0,1628,2928.72
"ASSAM","MORIGAON",0,0,5165,12069.69,0,0,2,4.73,6,15,0,0,24,0,5197,12089.42
"ASSAM","NAGOAN",11,29.8,11771,24218.36,3,4.3,10,27.6,0,0,1,9,225,0,12021,24289.06
"ASSAM","NALBARI",0,0,3517,2862.95,2,2.7,1,1,0,0,0,0,870,191.7,4390,3058.35
"ASSAM","SIBSAGAR",0,0,651,996.15,0,0,0,0,0,0,0,0,1900,3.55,2551,999.7
"ASSAM","SONITPUR",7,55.9,1750,4918.22,0,0,1,45,0,0,0,0,587,0,2345,5019.12
"ASSAM","TINSUKIA",8,9.7,2095,4662.27,1,35,87,174.5,0,0,0,0,551,476.18,2742,5357.65
"ASSAM","UDALGURI",0,0,1496,4366.36,0,0,0,0,0,0,0,0,319,0,1815,4366.36
"BIHAR","ARARIA",18,59.2,2117,7311.2,22,81.4,3485,12654,7,18.5,31,107.3,961,3496.5,6641,23728.1
"BIHAR","AURANGABAD",59,199.8,3456,12409.8,33,118.4,3616,13153.5,13,22.2,6,7.4,379,1143.3,7562,27054.4
"BIHAR","BANKA",55,166.5,1664,5779.4,13,37,3336,12313.6,26,92.5,0,0,3,11.1,5097,18400.1
"BIHAR","BEGUSARAI",203,662.3,4541,15314.3,65,177.6,6500,22721.7,4,14.8,83,296,844,2878.6,12240,42065.3
"BIHAR","BHAGALPUR",23,81.4,3247,11980.6,11,40.7,8407,31083.7,0,0,0,0,0,0,11688,43186.4
"BIHAR","BHOJPUR",473,1631.7,9397,33078,369,1346.8,11353,41243.9,52,166.5,0,0,8,11.1,21652,77478
"BIHAR","BUXAR",120,284.9,3566,12050.9,62,207.2,12953,47807.7,38,92.5,0,0,6,22.2,16745,60465.4
"BIHAR","DARBHANGA",112,277.5,1031,3089.5,25,85.1,9333,34114,61,133.2,1,0,6,14.8,10569,37714.1
"BIHAR","EAST CHAMPARAN",279,843.6,3698,12402.4,57,159.1,21969,80597.1,77,229.4,0,0,112,410.7,26192,94642.3
"BIHAR","GAYA",2348,7858.8,14164,45946.6,825,592,14727,46879,428,1087.8,11,7.4,64,210.9,32567,102582.5
"BIHAR","GOPAALGANJ",359,1265.4,2815,9686.6,323,1132.2,17470,63188.6,103,347.8,24,40.7,856,1994.3,21950,77655.6
"BIHAR","JAMUI",63,218.3,1079,3655.6,168,617.9,221,462.5,25,81.4,1,3.7,74,118.4,1631,5157.8
"BIHAR","JEHANABAD",51,162.8,2879,10267.5,82,129.5,16967,62038.9,41,85.1,0,0,178,647.5,20198,73331.3
"BIHAR","KAIMUR (BHABUA)",760,355.2,2767,8624.7,274,595.7,8388,29126.4,213,584.6,9,0,793,1369,13204,40655.6
"BIHAR","KATIHAR",55,185,21966,80371.4,217,780.7,1889,6970.8,5,14.8,1,3.7,226,814,24359,89140.4
"BIHAR","KHAGARIA",17,55.5,1383,4887.7,28,85.1,4648,16609.3,3,7.4,22,81.4,213,740,6314,22466.4
"BIHAR","KISHANGANJ",21,51.8,6164,21674.6,12,40.7,184,547.6,1,0,16,59.2,421,1539.2,6819,23913.1
"BIHAR","LAKHISARAI",43,66.6,1012,3426.2,22,51.8,4959,15558.5,22,25.9,1,3.7,69,210.9,6128,19343.6
"BIHAR","MADHEPURA",47,162.8,6292,19621.1,219,654.9,5399,18710.9,113,381.1,25,3.7,582,1169.2,12677,40703.7
"BIHAR","MADHUBANI",620,2138.6,2714,7041.1,260,214.6,13552,49561.5,57,144.3,2,0,21,44.4,17226,59144.5
"BIHAR","MUNGER",181,606.8,2284,7884.7,42,148,2554,9327.7,8,18.5,2,3.7,109,236.8,5180,18226.2
"BIHAR","MUZAFFARPUR",146,447.7,729,1924,24,51.8,33901,124445.8,51,118.4,2,0,132,355.2,34985,127342.9
"BIHAR","NALANDA",397,1309.8,8879,30676.7,156,458.8,14145,51407.8,107,122.1,32,37,991,2630.7,24707,86642.9
"BIHAR","NAWADA",185,536.5,9507,33699.6,152,455.1,2575,9383.2,36,48.1,5,7.4,286,921.3,12746,45051.2
"BIHAR","PATNA",235,640.1,8500,28508.5,648,1620.6,12654,42316.9,51,111,108,377.4,1321,3585.3,23517,77159.8
"BIHAR","PURNIA",22,77.7,10751,38894.4,132,425.5,12075,44207.6,30,111,0,0,200,521.7,23210,84237.9
"BIHAR","ROHTAS(SASARAM)",129,447.7,3805,13334.8,119,395.9,4347,15614,18,62.9,24,81.4,492,1646.5,8934,31583.2
"BIHAR","SAHARSA",27,85.1,380,1332,35,59.2,4762,16860.9,10,29.6,1,3.7,101,307.1,5316,18677.6
"BIHAR","SAMASTIPUR",374,1276.5,3554,11529.2,103,318.2,26414,94549.8,105,284.9,5,3.7,495,1620.6,31050,109582.9
"BIHAR","SARAN",179,543.9,1810,5427.9,1064,3870.2,23618,85777.1,38,51.8,11,18.5,983,2301.4,27703,97990.8
"BIHAR","SHEKHPURA",23,74,650,2342.1,19,59.2,2974,10926.1,7,7.4,0,0,9,7.4,3682,13416.2
"BIHAR","SHEOHAR",7,22.2,820,2934.1,5,18.5,2598,9401.7,55,192.4,1,3.7,135,144.3,3621,12716.9
"BIHAR","SITAMARHI",39,118.4,537,1831.5,3,3.7,9214,33725.5,12,37,1,3.7,216,540.2,10022,36260
"BIHAR","SIWAN",208,588.3,5337,15961.8,220,558.7,16929,61453.3,51,136.9,15,25.9,1345,3178.3,24105,81903.2
"BIHAR","SUPAUL",68,240.5,2706,9775.4,9,33.3,6303,23014,5,11.1,3,3.7,209,677.1,9303,33755.1
"BIHAR","VAISHALI",38,122.1,1393,4972.8,265,913.9,24034,88581.7,5,0,3,3.7,89,218.3,25827,94812.5
"BIHAR","WEST CHAMPARAN",292,895.4,5545,17767.4,64,122.1,10338,36063.9,13,29.6,26,55.5,226,240.5,16504,55174.4
"CHANDIGARH","UT CHANDIGARH",1,3.24,64,261.46,7,350,0,0,0,0,0,0,0,0,72,614.7
"CHHATISGARH","BASTER",254,67.5,1384,1723.21,24,48.32,118,228.08,6,31.36,1,5.46,20,16.39,1807,2120.32
"CHHATISGARH","BIJAPUR",3,59,13,117.29,0,0,0,0,0,0,0,0,0,0,16,176.29
"CHHATISGARH","BILASPUR",5636,2767.03,7398,14837.31,323,1183.65,1082,3593.05,16,27.94,25,111.74,258,755.71,14738,23276.43
"CHHATISGARH","DANTEWADA",131,0,19,30.18,25,69.57,22,51.68,0,0,0,0,4,0.49,201,151.92
"CHHATISGARH","DHAMTARI",1238,2148.2,6267,11064.89,15,40.96,687,1556.39,4,21.04,16,17.54,2308,5442.65,10535,20291.67
